Term,Count,order,Probability
deemed,350,149.0,0.0007002815131682936
sector,355,550.0,0.0007102855347849836
identified,331,281.0,0.000662266231024872
worldwide,621,680.0,0.0012424994847928868
related,801,514.0,0.0016026442629937234
west,460,672.0,0.0009203699887354716
support,709,605.0,0.0014185702652466292
ionization,511,330.0,0.0010224110092257087
range,703,500.0,0.0014065654393066013
attendant,356,59.0,0.0007122863391083215
simultaneous,481,571.0,0.0009623868795255693
among,1559,40.0,0.0031192539400839137
importance,1290,295.0,0.0025810375771059967
completed,634,103.0,0.0012685099409962806
transmission,2023,643.0,0.004047627146112737
ide,907,280.0,0.0018147295212675495
aging,1181,28.0,0.0023629499058621566
nucleotide,637,417.0,0.0012745123539662944
drms,314,189.0,0.0006282525575281264
laboratory,1876,339.0,0.003753508910582054
investigated,956,329.0,0.0019127689331111108
question,345,497.0,0.0006902774915516038
paper,838,431.0,0.0016766740229572287
serum,885,560.0,0.001770711826154114
released,1325,517.0,0.002651065728422826
country,1249,133.0,0.0024990045998491395
gather,406,249.0,0.0008123265552752206
protease,652,492.0,0.0013045244188163642
via,810,665.0,0.0016206515019037654
possible,202,463.0,0.00040416247331427234
effect,608,191.0,0.001216489028589493
selected,334,553.0,0.0006682686439948859
infection,2926,305.0,0.005854353450086935
calibration,465,69.0,0.0009303740103521616
detected,558,161.0,0.001116448812422594
relative,663,516.0,0.001326533266373082
comprehensive,1493,106.0,0.002987200854743607
genotypic,281,255.0,0.0005622260148579729
previous,291,483.0,0.0005822340580913527
could,325,130.0,0.0006502614050848441
seven,707,562.0,0.0014145686565999532
week,372,670.0,0.0007442992082817292
immune,892,286.0,0.0017847174564174799
postnatal,683,464.0,0.0013665493528398417
explored,960,220.0,0.0019207721504044626
colinear,592,95.0,0.0011844761594160852
perception,510,442.0,0.0010204102049023707
hcv,716,264.0,0.001432575895509995
potential,440,465.0,0.0008803539022687121
dna,949,183.0,0.0018987633028477449
presenting,487,480.0,0.0009743917054655972
consisted,365,119.0,0.0007302935780183633
homogenate,522,275.0,0.0010444198567824265
improves,880,297.0,0.0017607078045374241
acid,741,11.0,0.0014825960035934446
associated,996,56.0,0.00199280110604463
vary,965,664.0,0.0019307761720211525
tb,1819,616.0,0.003639463064151789
south,574,579.0,0.0011484616815960016
prepared,502,478.0,0.001004403770315667
specificity,679,583.0,0.0013585461355464896
specialist,930,581.0,0.0018607480207043232
clinical,1159,88.0,0.002318932210748721
recent,830,505.0,0.001660667588370525
strain,918,594.0,0.0018367383688242674
total,319,636.0,0.0006382565791448162
drm,312,188.0,0.0006242509488814503
cirrhosis,785,84.0,0.0015706313938203158
higher,1199,270.0,0.0023989643836822405
acceptable,527,6.0,0.0010544238783991165
linear,460,351.0,0.0009203699887354716
human,1503,278.0,0.0030072088979769865
genotype,699,254.0,0.0013985622220132493
gained,635,248.0,0.0012705107453196184
finding,743,232.0,0.0014865976122401205
evolve,615,211.0,0.001230494658852859
pcr,734,439.0,0.0014685903733300787
choice,283,83.0,0.0005662276235046488
moreover,672,391.0,0.001344540505283124
show,539,567.0,0.0010784335302791723
activity,995,16.0,0.001990800301721292
amino,767,39.0,0.0015346169160002322
thoroughly,809,630.0,0.0016186506975804274
represents,701,525.0,0.0014025638306599253
surface,1516,606.0,0.0030332193541803805
activated,362,13.0,0.0007242911650483494
severity,279,563.0,0.000558224406211297
lung,605,364.0,0.001210486615619479
progression,1366,488.0,0.0027330987056796833
transcriptase,1446,640.0,0.002893163051546722
sought,1350,577.0,0.0027010858365062755
unique,881,650.0,0.001762708608860762
contribute,905,127.0,0.0018107279126208737
immunologic,576,289.0,0.0011524632902426776
order,587,428.0,0.0011744721377993953
demonstrating,270,155.0,0.000540217167301255
ir,788,331.0,0.0015766338067903297
insufficient,201,316.0,0.0004021616689909344
ass,2438,53.0,0.004877960940298
