                0                 1                 2                 3                 4
    transcriptase               env       considering           changed            method
      mononuclear         diarrhoea         incidence         amplified               men
  cryptosporidium         condition            sexual            strain            sought
         mutation               aim            survey              case       coinfection
  cryptosporidium     phospholipase       considering            injury          response
            natal           illness         precision             human         infection
             drug         diarrhoea         immigrant            health       integration
          primary        regulating           feature              test          advanced
        condition              cell              tbas           patient               hiv
        consisted          province              ltcs       association              load
             test          reliable               hdv        laboratory         hepatitis
      progression   cryptosporidium          position        documented             count
            study               ddi               tdf            sought              vary
      determinant         knowledge     mycobacterium         diagnosed             hbsag
           formal             hbsag        medication            strain            access
       laboratory        medication               pcr         guatemala          mutation
       commercial             among              main     comprehensive          prisoner
       associated           perform            dental            europe          training
            haart          fibrosis               hcv             onset            likely
         northern      investigated       interleukin           concern           patient
           unique              cell         influence       interaction            region
         isolated         marseille            marker     significantly            people
      qualitative          received         utilizing            defect            afford
        performed       association        practicing          mutation          attitude
         detected             found            highly       coinfection    characteristic
        amplified        contribute               ltr               use            higher
       initiating             first         hepatitis             study             error
          however             seven            orally           primary             aging
             site        medication        nongenetic         relevance             world
        occurring         challenge              used          negative         influence
       associated             serum          mutation            cohort       utilization
            virus               pcr         treatment               hiv         increased
          changed            gained            method             error        thoroughly
             plan            occult             still           advance            people
             care             human         criterion      demonstrated        associated
        infection              ctls        telomerase             haart            cohort
          patient           serious               aid               dna               hiv
          disease     phospholipase            portal            gained        nucleotide
    transcriptase       fingerprint               iii            sector         treatment
             mass           patient             haart           outcome          negative
  bronchoalveolar          presence               hiv         attendant         exceeding
          support           genetic         adherence          directly          zululand
             year     retrospective            remain             onset            lavage
             mass         infection           patient              ctls               hdv
       individual        reciprocal          acquired       disposition           however
        diagnosed           radical         increased               new    antiretroviral
    sedimentation          explored              gene       immunologic            europe
            liver          clinical               dna          zululand    implementation
        activated             prior            effect          nigerian            strain
 pharmacokinetics         adherence            strain          northern                ir
           recent        expression         mechanism              drug             swarm
       laboratory    implementation          required            detect        respondent
           method        resistance               use               snp       restoration
         response        reciprocal             woman         precision              vary
           condom      hypothesized            office             natal             among
       inhibition           patient             level             virus        insecurity
              via               ide           surface        initiating        management
          treated              many      participated             nnrti       perspective
          service    characteristic        especially        especially            method
          america               hiv         inhibitor           variant              cart
         improves             human           treated            access          reported
        condition         assistant           feature              drug           however
           sought        individual             stool              cell              lead
              hdv             group             swarm              york         collected
           evolve              test             group        documented            sought
        developed           patient       coinfection       progression       coinfection
           source              ltcs             study           disease             aging
             drug             genus            recent             clone        prevalence
        knowledge           remains            mainly              care            sought
     demonstrated       accelerated             hbsag           remains       descriptive
         explored     sedimentation               may       descriptive              year
             city           disease          prenatal    antiretroviral          colinear
            nnrti          acquired         collected           antigen            method
        adherence          delivery       responsible            factor              area
             rate             genus              ltcs       accelerates        nucleotide
             came            course           insulin             woman           patient
             plan          contrast           disease            injury          acquired
    determination              drms             liver             virus            factor
          pattern       coinfection       responsible             audio         hepatitis
           column         inhibitor     significantly          acquired         evolution
           marker            gained         treatment        insecurity          relative
      interleukin         diarrhoea             seven       independent         infection
              hbv      demonstrated          compared              acid               hdv
       represents            cohort      hypothesized        determined      transmission
       expression              york           patient              area       coinfection
        infection          received         selective              even     retrospective
           europe           outcome          mutation           perform         knowledge
             site           concern            normal          detected              care
             case            higher             amino          dementia        prevalence
          applied   transcriptional          pressure               hbv             cause
    questionnaire             total        difference           compare        containing
            italy              jail         abaqulusi            afford         evolution
           worker            dental       unscheduled             count       specificity
           active             hilic    characteristic       integration              cell
            onset            access         cirrhosis            active            native
          disease         influence            result                tb          response
    nonfunctional        prevalence              gene           nucleos            remain
        infection              cart            marker         surrogate            gained
            genus              cell             group         developed             italy
  cryptosporidium           changed  immunodeficiency               may           central
              new            region          moreover       recognition               dna
          concern          resulted               two             serum         detection
      exaggerated            factor          detected         knowledge              care
             load          delivery          analyzed           therapy            faecal
       diarrhoeal             viral              cell          training            active
          patient               men          activity        insecurity           england
    administrated            number               ass         conducted            portal
     organization            higher             still          explored            factor
              hbv               hiv           variety            immune               hbv
      utilization            marker          presence             italy            region
        inhibitor          appeared              cell              view         evolution
           worker             serum      downmodulate        individual          prisoner
          feature        medication              food               use               sex
              hiv       specificity               may           genetic            factor
            range       participant             first             phone              risk
      preexisting            occult               via           patient            reveal
            level              used          compared               low              tbas
        influence        laboratory             focus         suggested             stand
        concluded     phospholipase               snp      organization       intensified
       addressing epidemiologically            region           haartin            immune
       sequencing     mycobacterium             first          sequence               hdv
        knowledge       progression      hypothesized           contact          delivery
     simultaneous          modified             level          attitude            linked
     heterosexual        metabolite       specificity          isolates        prediction
         response        telomerase         naturally        experience         conducted
  cryptosporidium          training      additionally              plan       specificity
            clone           nucleos       exaggerated           service          prenatal
         fumarate             least           service             alone         structure
           cohort           subject             still            access        ionization
           factor             study       integration       vaccination             south
        structure       fingerprint          mutation           reverse        documented
           survey     retrospective               aim               drm              year
          iranian           insulin         evolution            change             error
              hiv           perform       progression           america              area
        collected            normal           haartin              food               ddi
              dna              plan          acquired        nucleotide             count
         syndrome          isolates             curve          compared              area
            paper            afford            dental              five       descriptive
          patient             solid           control             prior          increase
           within     determination               ddi               aid       specificity
             week              cell                pr           iranian          multiple
      contracting              host                pr          enrolled           subject
             jail                ir         worldwide            shiraz               ltr
            onset           service           iranian         ethiopian      successfully
          insulin       parasitosis           protein             blood        reasonable
     respectively               hbv       descriptive              plan           explore
            serum             three             still        lymphocyte               ltr
        challenge            nested               ddi             haart              lung
      interleukin      transmission           service              data           perform
         compared            within         technique        prevalence         evaluated
       practicing          directly              area            native          envelope
         district             audio        assessment         challenge         criterion
            viral        extraction           control               hiv               hiv
         clinical                fg      neurological          protease           fitness
        marseille        resistance           related             hbsag         condition
             data       progression           haartin         volunteer       instruction
            focus               hbv         suggested       coinfection         adherence
    mycobacterium        undergoing           patient         suggested        medication
       importance           adverse           fitness        prevalence         treatment
            aimed             stand        containing         infection          position
             main       independent          improves     mycobacterium            people
       resistance        especially         sequenced       investigate              even
         fibrosis      hypothesized        consequent           october               hiv
         mutation               dna           outcome           control      transmission
       specialist         incidence           primary           whether               use
        inhibitor              site             genus              many         suggested
          pattern         insertion               ltc      transmission           atlanta
epidemiologically               hiv       independent            linked       qualitative
        increased             world           applied        telomerase       association
              via              food        manageable       considering               ltr
         receptor        perception           perform        expression          increase
          therapy              york       consequence      investigated           surface
      calibration                fg            impact           insulin         expansion
           living         criterion             prior         adherence           perform
      fingerprint            europe              tbas      longitudinal         challenge
        occurring           current               men         increased           unclear
        infection               ddi               hiv       integration      transmission
         response      transmission        homogenate         hepatitis             study
         compared            factor        associated          directly           nucleos
       identified          delivery          modified            impact             order
             case             world           variant        resistance               men
         selected           disease               hiv       immunologic        addressing
           formal            people         assistant           stained              tbas
       medication           haartin            active            formal         diagnosed
      mononuclear        expression      successfully      insufficient       restoration
            study            region         knowledge        correlated              plan
             even          reliable             amino              york           subject
             load     phospholipase         criterion           testing         pregnancy
              may             limit             study            course           country
          concern       independent         influence           however        lymphocyte
      considering          infected         diagnosis         adherence       disposition
          remains           protein              site              ctls           therapy
          patient         detection              york           variant          presence
             food        nucleotide            access            dental               may
           region         knowledge             aging             aimed               ide
            stand            region          pressure         performed              york
            count                tb       determinant             first             genus
           portal     comprehensive           patient            europe         treatment
              via        prevalence               hbv        especially          negative
             load            result            dental              list       considering
 pharmacokinetics               phc             theme          mutation           control
           office          facility      participated        assessment           surface
       experience               esi              jail              lack            method
            among            occult           feature        laboratory             allow
             rate          explored      heterosexual             codon           patient
           access              drug            region         consisted               new
           active               aid      heterosexual          resource              tool
