Document Order,ranking,bm25_score
41,1322,154.80384601606048
47,1443,145.0579114384365
86,1106,167.24517381878496
114,1439,145.45755654992743
142,746,185.14149330118573
169,440,201.56115002903343
240,547,194.8139878566931
325,1006,173.05398013986445
345,458,200.5027928432945
351,215,217.8612690882751
352,1512,136.48357946284892
376,959,175.2266177743756
391,385,204.28280018431144
406,395,203.7190553727013
471,1143,165.42262350095436
487,1138,165.77762492007875
513,1451,144.07795612598787
596,1287,156.40626042557946
615,803,182.3547372774636
656,955,175.56120035417848
666,75,237.0961822390438
714,1554,128.91503799863727
730,1170,164.03964818353742
750,1354,152.5137601509488
763,628,190.8418242517928
782,429,202.15333631936636
787,555,194.11088516337952
835,254,213.084341466593
879,1018,172.48833670425924
925,345,206.70137452204276
964,732,185.6888864284352
973,638,190.51933991646257
1027,790,182.9209336204826
1048,293,209.9418643258333
1127,617,191.61051030203572
1159,1231,160.06133787302804
1160,428,202.43471340758788
1168,979,174.1966376308527
1184,444,200.9867684610524
1190,192,221.1398198776344
1261,906,177.66923704606847
1273,1517,135.59108145413023
1314,410,203.15483766919948
1327,780,183.33587803679728
1351,885,179.08146752792538
1389,1411,148.42405894288476
1495,1265,157.62982555218449
1500,382,204.47582523379597
1506,448,200.8595448279518
1509,837,181.550824110898
1526,1526,134.13747003277322
1548,126,228.3245539978568
1553,1269,157.4569348247752
1555,763,184.40003392775503
1618,823,181.84693246229693
1718,281,211.10902931722785
1796,114,230.34766533385277
1832,575,193.54189113311605
1948,544,194.97772866632093
2031,221,217.2856171021315
2034,13,257.9150657667567
2095,1574,124.11224034260276
2102,162,224.53417128351367
2104,146,226.2187647155456
2138,479,198.5284566906757
2169,1130,166.26621692394227
2170,1248,158.95115170254394
2201,1553,129.1117897067254
2226,45,243.63971753311475
2231,271,212.1605262605981
2272,299,209.51367265113035
2287,995,173.41987576953252
2298,63,239.1480447673906
2342,334,207.37738199541545
2347,1066,169.6929153902802
2362,306,209.10262380268372
2366,1190,162.92762903646894
2368,1070,169.47191229801086
2389,972,174.61574901680032
2415,1384,150.29168306494654
2454,375,204.89197368566735
2464,1315,155.18554253168026
2491,1615,99.72448453333044
2525,1340,153.35567713230046
2533,189,221.48123578406089
2568,340,207.0841402524373
2593,568,193.7587546160449
2640,1094,167.90547983398017
2669,1477,139.95320455857322
2686,1031,171.70950755038845
2744,844,181.06284146115297
2800,532,195.62421669888155
2873,109,231.4651086378612
2896,252,213.15354822583248
2897,1123,166.71587068845812
2898,529,195.7857350819889
2903,213,218.10302056289896
2961,1493,138.46446427541082
2964,86,234.5468610996636
3012,482,198.2564831281079
3128,498,197.45514594544773
3154,1469,140.6344699706738
3156,188,221.49050074565403
3160,654,190.0145475757097
3261,343,206.85078478702252
3295,121,229.15864578475
3296,909,177.5200620058646
3300,999,173.2308205395703
3313,278,211.3439864943248
3337,1222,160.61411065282886
3338,760,184.5111623837117
3348,1463,141.70729293552506
3369,1568,124.97328585438366
3377,542,195.00287521176853
3443,1563,126.5305798133687
3464,782,183.298388919016
3513,880,179.30108070214243
3522,356,206.217231009658
3526,674,189.13631870393664
3559,220,217.3267251897537
3583,976,174.4298904257373
3608,1502,137.38028984005862
3633,857,180.15142190277396
3658,1620,96.52084389130636
3665,1279,156.9199441335053
3733,948,176.02619503097344
3776,424,202.51556285071305
3793,74,237.36142462494092
3802,318,208.36008474689876
3847,1304,155.675396452361
3849,178,222.367209301014
3979,1459,142.80193912753458
3982,1495,138.3887574578755
3989,1040,170.76840819382443
4026,589,192.85032802474188
4038,36,246.72922499913489
4159,1403,148.8029017091519
4198,898,177.91496847935278
4247,98,232.87873863991408
4350,1327,154.46097250489726
4355,511,196.70988115461927
4436,1383,150.3559094333686
4454,377,204.70847025548983
4455,205,219.48468815357216
4467,1605,108.8139094489032
4468,559,193.96268800699784
4469,781,183.31762741313224
4472,971,174.6556050980074
4473,1426,146.51321978535506
4479,1630,74.97530164295455
4480,737,185.48804075170236
4487,1617,98.88258642122828
4533,1131,166.1740122095423
4571,858,180.14920545127973
4573,206,219.0297587255233
4574,1418,147.29764935288233
4601,772,183.5463924130273
4622,48,242.33473335175628
4645,128,227.93270892770977
4656,383,204.4731759712664
4672,1507,136.98596928538595
4687,1490,138.65455512842604
4724,228,216.4907037204231
4758,118,229.80287792178524
4762,167,224.0961063278656
4764,1095,167.86062182420525
4821,1087,168.2818219250313
4831,47,242.60135825159907
4833,1519,135.36367464866353
4855,1244,159.04375861993532
4896,711,186.98607097165592
4913,353,206.43028492502395
5040,50,242.1799934599433
5101,1053,170.14973141443505
5179,1144,165.3922329893445
5197,695,187.93105850689813
5228,540,195.04394437089232
5234,1349,152.9479096163973
5235,1449,144.21251796588956
5265,268,212.30702308286533
5291,983,174.054220802038
5320,1595,117.2218821438832
5323,199,219.8707946741976
5327,833,181.60900222266744
5334,970,174.6798109171507
5387,786,183.06197589067855
5388,940,176.3251126212217
5400,715,186.85672528200817
5477,581,193.16888220514048
5494,810,182.2357876861414
5528,105,232.1570206203652
5531,1072,169.33040108131271
5593,1076,169.11625991849897
5656,28,250.15981440277503
5762,68,238.3178321098491
5847,660,189.7097353600948
5883,374,204.97280108504745
5894,208,218.4946353973177
5930,729,185.95554200483213
5933,563,193.82150957687145
5967,147,226.2095190085684
6000,722,186.42346461460664
6012,1148,165.2883180112515
6026,245,214.2916942153893
6064,1453,143.79179432137076
6071,569,193.72677412139817
6096,1167,164.24702679047653
6101,1548,129.94999037282076
6133,520,196.272185368784
6144,190,221.4772311494252
6182,882,179.225763240695
6194,1323,154.68621642896747
6266,994,173.4235963387338
6289,1224,160.5024745525457
6314,1440,145.4535237560927
6354,1533,133.1785649407073
6407,1011,172.72592957683048
6416,496,197.49905023123785
6478,1481,139.291257457507
6505,130,227.71211734460627
6514,97,233.03388312476807
6529,591,192.8462847539062
6552,1542,132.07187010874443
6581,256,213.04783224050496
6641,891,178.70309051970986
6653,104,232.16074445738732
6681,690,188.33217554266676
6695,1049,170.28300429386417
6707,1308,155.42947456580933
6757,701,187.50629864328425
6781,1626,86.02929033151608
6927,1614,101.2350359018346
6943,1134,165.97707618216947
6962,322,208.1028575796209
7023,587,192.90784865226212
7075,1154,164.92726548826275
7090,108,231.51873027908127
7149,1609,107.24027008617772
7152,864,179.8455210217457
7182,727,186.01899254607764
7191,231,215.88118440044107
7202,336,207.291542070534
7238,426,202.48301443955
7296,812,182.15705089341964
7381,211,218.184578396378
7437,23,252.19807328554495
7438,1061,169.96816110397685
7440,1601,113.59650218957144
7470,171,223.4232525145364
7533,523,195.9074878942349
7542,313,208.8398429950056
7553,1081,169.01057216630926
7572,117,229.91808909923725
7586,150,225.83545947424955
7596,1379,150.51311949036372
7631,346,206.7013739171369
7685,595,192.671610010315
7698,1088,168.24021513915972
7707,1316,155.17394408315033
7715,682,188.66511606365776
7768,1200,162.11039783164605
7790,692,188.2700031038601
7858,310,209.01281480015015
7878,1532,133.2623608796881
7893,1600,113.7000134448587
7896,468,199.50551782076008
7973,144,226.45130037390177
7981,753,184.8327599781701
7994,911,177.376432307852
8038,420,202.5744093036938
8041,1274,157.22056000516736
8076,380,204.58343299285204
8118,510,196.7189556691324
8125,603,192.37450172004364
8170,509,196.90606921350843
8178,574,193.6187678872854
8210,463,200.05889219733515
8266,412,202.9019242631439
8317,952,175.7326572481038
8322,1524,134.63786110883302
8329,251,213.2842095683251
8376,344,206.7742757797269
8396,1331,154.3025768380871
8413,513,196.68842160464172
8467,1197,162.37958703528443
8478,931,176.52283158529215
8480,1086,168.49509394573036
8481,350,206.53422286029144
8489,749,184.92858401017716
8498,352,206.4362272724653
8543,1015,172.60843374418025
8600,1241,159.34570775801328
8624,193,221.09209008466655
8664,720,186.61708033002688
8699,1008,172.9034923036142
8738,191,221.347655544673
8762,558,193.99836225393244
8828,1525,134.57494780500966
8841,626,191.00584126468527
8890,236,215.3773020664932
8892,1262,157.73577783832647
8913,328,207.85851730798385
8929,775,183.4595131113505
8957,776,183.45385997201817
9053,212,218.17225163851876
9062,1218,160.9021965763154
9131,1177,163.5692672874494
9138,1158,164.7779016283911
9163,1452,144.03355852220255
9242,330,207.7699717065373
9249,1416,147.40425722354237
9264,904,177.7149014472488
9328,1153,164.95060129607552
9357,1320,154.88493051520584
9378,1237,159.62338662663456
9388,369,205.34227094066247
9396,294,209.93368645972123
9486,640,190.4985449478885
9492,437,201.73932150330123
9507,531,195.6981968068012
9517,800,182.4998552581605
9531,320,208.32636907805127
9592,296,209.83677977873955
9597,1043,170.5744356565062
9605,1520,135.2342080148991
9621,1324,154.67868130799562
9648,357,206.19202261882856
9651,287,210.6027155011677
9717,1168,164.11038986282247
9743,755,184.6962268049064
9884,757,184.5876359908008
9899,1497,137.80762525443163
9905,546,194.8618617173448
9917,433,201.9949639731444
9946,534,195.45259519272008
9970,1589,120.05302076043716
