Identifier,N_kw = 5,N_kw = 10,N_kw = 15
1,#N/A,3438,#N/A
4,#N/A,#N/A,#N/A
10,#N/A,#N/A,#N/A
11,#N/A,#N/A,#N/A
26,2877,898,#N/A
31,1580,2261,#N/A
41,#N/A,#N/A,#N/A
47,#N/A,1492,#N/A
50,#N/A,1982,1384
60,#N/A,2066,#N/A
76,#N/A,1203,798
81,#N/A,#N/A,#N/A
84,2694,3080,#N/A
85,#N/A,1988,#N/A
86,693,1147,#N/A
87,136,#N/A,523
88,2021,1399,1107
90,#N/A,#N/A,#N/A
100,#N/A,#N/A,#N/A
107,#N/A,#N/A,#N/A
111,3946,#N/A,#N/A
114,#N/A,824,789
115,4666,2443,#N/A
123,#N/A,#N/A,#N/A
124,2155,#N/A,#N/A
130,#N/A,3276,#N/A
140,630,#N/A,#N/A
142,1667,#N/A,#N/A
169,3593,1285,878
177,2269,2447,1372
180,#N/A,#N/A,#N/A
183,#N/A,#N/A,#N/A
185,4656,#N/A,#N/A
187,2392,3349,#N/A
193,3875,#N/A,#N/A
197,3009,#N/A,#N/A
201,523,#N/A,#N/A
204,325,#N/A,360
212,#N/A,#N/A,#N/A
217,3243,#N/A,#N/A
240,3863,160,1533
245,#N/A,2202,#N/A
252,3052,#N/A,#N/A
253,1392,#N/A,#N/A
263,#N/A,#N/A,#N/A
270,#N/A,#N/A,#N/A
278,#N/A,#N/A,#N/A
285,1522,1188,#N/A
286,1169,#N/A,#N/A
288,4499,1738,#N/A
294,#N/A,#N/A,#N/A
297,1505,#N/A,1431
300,#N/A,#N/A,#N/A
301,524,1084,1219
302,3409,3049,#N/A
303,#N/A,1652,#N/A
309,#N/A,#N/A,#N/A
313,3347,2917,#N/A
315,3029,#N/A,#N/A
325,1192,237,17
328,#N/A,#N/A,#N/A
333,2671,2984,#N/A
342,1146,#N/A,#N/A
343,451,1055,683
345,17,696,324
350,4527,#N/A,#N/A
351,#N/A,3520,#N/A
352,4091,#N/A,606
356,#N/A,#N/A,#N/A
358,#N/A,#N/A,#N/A
368,#N/A,#N/A,#N/A
371,#N/A,#N/A,#N/A
373,#N/A,#N/A,#N/A
376,2961,425,568
380,#N/A,408,#N/A
382,#N/A,#N/A,#N/A
391,4330,3232,221
403,#N/A,#N/A,#N/A
406,1177,607,954
416,4025,#N/A,#N/A
417,#N/A,2859,#N/A
419,3454,#N/A,#N/A
426,#N/A,#N/A,#N/A
430,#N/A,793,#N/A
433,2010,#N/A,#N/A
440,#N/A,3435,#N/A
441,4407,#N/A,#N/A
468,4584,#N/A,529
471,689,321,#N/A
483,#N/A,#N/A,#N/A
485,4257,678,#N/A
487,1428,#N/A,#N/A
493,#N/A,#N/A,#N/A
494,#N/A,#N/A,#N/A
501,1725,467,#N/A
508,4749,#N/A,#N/A
513,#N/A,1768,#N/A
521,#N/A,#N/A,#N/A
547,#N/A,#N/A,#N/A
569,#N/A,#N/A,#N/A
579,2102,#N/A,#N/A
585,2213,753,#N/A
593,#N/A,1721,#N/A
596,137,#N/A,#N/A
601,#N/A,#N/A,#N/A
604,#N/A,#N/A,#N/A
606,3493,#N/A,#N/A
615,481,2757,#N/A
627,3448,2178,#N/A
635,1845,2595,#N/A
643,#N/A,#N/A,#N/A
652,#N/A,#N/A,#N/A
655,#N/A,#N/A,#N/A
656,1693,#N/A,101
661,536,832,#N/A
662,#N/A,#N/A,#N/A
665,2775,#N/A,#N/A
666,1345,#N/A,1426
668,4679,1484,#N/A
674,#N/A,3026,#N/A
686,#N/A,#N/A,#N/A
694,2003,936,#N/A
700,#N/A,#N/A,#N/A
701,1460,#N/A,#N/A
705,#N/A,#N/A,#N/A
708,#N/A,#N/A,#N/A
711,#N/A,#N/A,#N/A
714,2093,#N/A,#N/A
715,3661,#N/A,#N/A
730,2261,183,64
733,2200,#N/A,#N/A
739,#N/A,#N/A,#N/A
743,#N/A,#N/A,#N/A
746,#N/A,#N/A,1315
750,723,#N/A,#N/A
755,#N/A,#N/A,#N/A
762,#N/A,#N/A,#N/A
763,125,29,256
769,4755,3495,#N/A
776,#N/A,#N/A,#N/A
778,#N/A,#N/A,#N/A
779,#N/A,#N/A,#N/A
782,899,1368,#N/A
787,4188,609,#N/A
790,#N/A,#N/A,#N/A
796,#N/A,#N/A,#N/A
797,4699,#N/A,#N/A
798,#N/A,#N/A,821
799,#N/A,#N/A,#N/A
800,1091,2304,#N/A
807,#N/A,#N/A,#N/A
817,#N/A,#N/A,#N/A
834,#N/A,#N/A,#N/A
835,#N/A,131,21
838,4010,#N/A,#N/A
839,#N/A,#N/A,#N/A
845,966,1919,#N/A
848,#N/A,#N/A,#N/A
851,#N/A,#N/A,#N/A
861,#N/A,#N/A,#N/A
874,#N/A,1905,#N/A
876,#N/A,995,738
879,1042,#N/A,#N/A
891,2825,#N/A,#N/A
903,#N/A,#N/A,#N/A
914,#N/A,#N/A,#N/A
919,637,150,349
921,3122,3033,#N/A
925,1472,1563,1264
931,#N/A,#N/A,#N/A
940,2937,#N/A,#N/A
950,#N/A,#N/A,#N/A
952,13,#N/A,#N/A
964,2140,3282,#N/A
968,#N/A,#N/A,#N/A
972,343,2654,#N/A
973,#N/A,#N/A,#N/A
974,1164,#N/A,597
981,#N/A,#N/A,#N/A
997,#N/A,#N/A,#N/A
1012,3233,#N/A,#N/A
1018,#N/A,2414,#N/A
1024,3814,#N/A,#N/A
1027,#N/A,#N/A,#N/A
1029,#N/A,3066,#N/A
1030,#N/A,910,#N/A
1039,#N/A,#N/A,#N/A
1041,#N/A,#N/A,#N/A
1043,#N/A,#N/A,#N/A
1045,#N/A,#N/A,#N/A
1048,1252,3460,617
1054,2205,#N/A,#N/A
1063,#N/A,#N/A,#N/A
1076,#N/A,#N/A,#N/A
1082,3968,#N/A,#N/A
1088,#N/A,2661,#N/A
1103,#N/A,#N/A,#N/A
1105,#N/A,1751,1085
1106,#N/A,1797,#N/A
1108,#N/A,#N/A,#N/A
1111,3269,#N/A,#N/A
1112,#N/A,#N/A,#N/A
1117,3511,#N/A,#N/A
1120,3423,#N/A,#N/A
1121,#N/A,#N/A,#N/A
1127,472,1204,272
1131,#N/A,#N/A,#N/A
1137,2653,#N/A,489
1139,#N/A,#N/A,#N/A
