Document Order,Normalized Frequency,Raw DF,Abstract
7098,0.07,14.0000,"Only some twenty years has passed since the first discovery of severe immunodeficiency among previously healthy homosexual men through the discovery of the causing virus and till the status today where the knowledge on the HIV virus and the pathogenic mechanisms induced by the virus are extensive, though still incomplete. Furthermore, steadily better treatments have been introduced at a paste that is probably without precedents. These processes have been fuelled by various molecular biological methods. The abilities to quantify viremia and to sequence virus and hence describe the evolution of the virus represent valuable tools for understanding the pathogenic processes. The current thesis describes some of the findings obtained. While it was initially thought that the virological profile mimicked the clinical with an acute infection followed for years by clinical latency and only after on average ten years signs of severe immunodeficiency, this understanding has been revised. There is no virological latency. The viral replication is on going throughout the infection. However, the virological profile does resemble the clinical. Viremia is high shortly after infection; hereafter declines, and stabilises around what has been termed the viral set point. This level of viremia is predictive of the clinical course of the infection. We have shown that the viremic levels, measured both as HIV RNA load and proviral DNA load, early in infection carry significant information about the course of the infection. It is; however, not only early viral loads that carry prognostic information, also viral load during late-stage infection is clinically informative. Viral load measurements have evolved as the major tool for monitoring the efficacy of antiretroviral therapy. HIV RNA has been shown to be a good surrogate marker for the clinical efficacy of antiretroviral treatment. How to use the measurements most optimally has however not been fully delineated. Various methods for describing virological response might yield different results, and it is recommended that the pros and cons of the various methods be investigated. In a cohort of patients who had obtained good virological suppression on antiretroviral therapy followed prospectively for two years we found that only few patients experienced high-grade viremia. Furthermore, baseline HIV DNA differed between the patients with various longitudinal HIV RNA profiles. The patients with the most pronounced HIV RNA suppression had lowest proviral load at baseline, with a clear gradient across the groups. The interplay between proviral load and treatment response deserves further investigations. Resistance can develop against all the available antiretrovirals. The high turnover rate of HIV along with the error-prone reverse transcriptase leads to the possibility of steady accumulation of resistance mutations if the viremic suppression is incomplete. While the interplay between viremia and resistance development is clear-cut for some antiretrovirals i.e. Lamivudine, the pattern is more complex for i.e. Zidovudine. With the availability of assays for resistances testing the knowledge on this issue has been ever evolving. How to use resistance testing in the clinical monitoring of patients remains to be clarified. Resistance testing can aid in the process of choosing salvage therapy for patients experiencing virological failure. Whether resistance testing will be of clinical benefit in other situations remains to be determined. Investigation of the viral sequences and evolution herein has not only been used for resistance analyses, but also for tracing the spread of the infection. HIV-1 exists in many subtypes, with various geographic distributions. Hence subtype analyses have been used to investigate the introduction and spread of the HIV infection into many countries. Phylogenetic analyses have also been used to investigate nosocomial transmission events. We used analyses of env and gag sequences to trace a case of nosocomial infection at the Department of Infectious Diseases, Rigshospitalet, Denmark. The study underlines the importance of steady awareness of the infection control precautions and possible breaks herein. The usefulness of this type of analyses was confirmed. In the early years of the AIDS epidemic various replicative patterns were described. Virus obtained from patients with late-stage infection often had virus that could induce syncytium formation (SI) when cultured, while virus obtained from patients in the early stages of infection did not have this ability. A correlation between the SI ability and the ability to yield high virus titres rapidly as well as the ability to establish infection in certain cell lines was found. Patients infected with SI virus experience more rapid clinical deterioration. We found that patients harbouring SI virus have HIV RNA loads no different from patients harbouring NSI virus. This is in line with the findings of other groups. Though patients harbouring SI virus had a more rapid development of resistance when treated with nucleoside reserve transcriptase inhibitor (NRTI's) monotherapy, this was not the case when treated with highly active antiretroviral therapy (HAART). HAART is today considered the treatment modality of choice; both for established HIV-infection and in cases where post exposure prophylaxis (PEP) is given in order to prevent establishment of infection after exposure. In a case of transfusion of HIV-contaminated though HIV antibody negative blood the recipient was treated with HAART. As the risk of infection is close to 100% under these circumstances the fact that the recipient remained uninfected is probably attributable to the prompt initiation and thorough maintenance of PEP. PEP is recommended to health care workers after percutaneous HIV exposure as well as after sexual exposure. Even with NRTI monotherapy PEP has been shown to be efficacious. While the explanation for the dichotomy (SI vs. NSI) was for many years unresolved, it is now known that this is due to the requirements of the virus for different co-receptors for cell entry. SI virus uses mainly CXCR4 while NSI virus uses CCR5. Being heterozygous for a 32 basepair deletion in the gene encoding CCR5 leads to slower disease progression. We have shown that heterozygotes have lower HIV RNA levels in the early years of the infection, possibly explaining the clinical advantage of having the deletion. HIV replicates in activated cells, and there is an intriguing interplay between HIV replication and immune activation. HIV-infected patients have elevated levels of immunoglobulins. HIV induces polygonal immunoglobulin production. We found that patients experiencing good virological suppression of HAART had lower IgA levels than patients with less complete viral suppression. Whether IgA can be used as a marker for imminent viral break-through remains to be determined. The full understanding of the interplay between immune activation and HIV replication awaits further studies. The finding of increased viremia in conjunction with acute bacterial or viral infection led to concerns about the safety of vaccinating HIV-infected patients against influenza and pneumococcal infection. We found no difference in HIV RNA levels measured before and median 42 days after anti-pneumococcal vaccination. This is in line with many other studies showing either no or only transient increases in viremia. In conclusion, the knowledge on HIV virology has expanded tremendously. This has led to significant improvements in treatments in the Western World leading to declines in HIV morbidity and mortality. The ability to quantify viral load and to perform sequence analyses represent valuable tools both for understanding the pathogenic actions of the virus and for the clinical monitoring of HIV-infected patients. The optimal usage of these tools in the clinical setting, however, still remains to be defined. The progresses obtained have unfortunately been restricted to the Western World and the calamities of HIV is spreading and worsening in the Developing World. The progress in the development of a vaccine has been disappointing and it is urgently necessary that the progresses obtained within the fields of prevention and treatment are translated into useful strategies in the parts of the world mostly affected by the HIV pandemic."
6919,0.02,4.0000,"This consensus document has been prepared by a panel consisting of members of the AIDS Study Group (Gesida) and the Spanish Secretariat for the National Plan on AIDS (SPNS) after reviewing the efficacy and safety results of clinical trials, cohort and pharmacokinetic studies published in medical journals, or presented in medical scientific meetings. Gesida has prepared an objective and structured method to prioritise combined antiretroviral treatment (cART) in naïve patients. Recommendations strength (A, B, C) and the evidence which supports them (I, II, III) are based on a modification of the Infectious Diseases Society of America criteria. The current antiretroviral treatment (ART) of choice for chronic HIV infection is the combination of three drugs. ART is recommended in patients with symptomatic HIV infection, in pregnancy, in serodiscordant couples with high transmission risk, hepatitis B fulfilling treatment criteria, and HIV nephropathy. Guidelines on ART treatment in patients with concurrent diagnosis of HIV infection and an opportunistic type C infection are included. In asymptomatic patients ART is recommended on the basis of CD4 lymphocyte counts, plasma viral load and patient co-morbidities, as follows: 1) therapy should be started in patients with CD4 counts <350 cells/μL; 2) when CD4 counts are between 350 and 500 cells/μL, therapy will be recommended and only delayed if patient is reluctant to take it, the CD4 are stabilised, and the plasma viral load is low; 3) therapy could be deferred when CD4 counts are above 500 cells/μL, but should be considered in cases of cirrhosis, chronic hepatitis C, high cardiovascular risk, plasma viral load >10(5) copies/mL, proportion of CD4 cells <14%, and in people aged >55 years. ART should include 2 reverse transcriptase inhibitors nucleoside analogues and a third drug (non-analogue reverse transcriptase inhibitor, ritonavir boosted protease inhibitor or integrase inhibitor). The panel has consensually selected and given priority to using the Gesida score for some drug combinations, some of them co-formulated. The objective of ART is to achieve an undetectable viral load. Adherence to therapy plays an essential role in maintaining antiviral response. Therapeutic options are limited after ART failures, but an undetectable viral load may be possible nowadays. Adverse events are a fading problem of ART. Guidelines in acute HIV infection, in women, in pregnancy, and to prevent mother-to-child transmission and pre- and post-exposition prophylaxis are commented upon. Management of hepatitis B or C co-infection, other co-morbidities, and the characteristics of ART in HIV-2 infection are included."
710,0.015,3.0000,"Advanced HIV disease, defined as a CD4 cell count below 200 cells/μl or the presence of an AIDS-defining illness, remains common among HIV-infected individuals who first present for medical care. In developed countries, nearly 30% of new HIV diagnoses occurred at advanced stages of the disease, and it is important because advanced HIV disease has been associated with worse clinical outcomes, including lower rates of virological response, higher morbidity, and higher mortality. However, there are scarce data regarding which is the best antiretroviral regimen in these patients. Nowadays, integrase inhibitor-based regimens are widely recommended as the best initial therapy for treatment-naïve HIV-infected patients by all international guidelines. However, these guidelines hardly mention the recommended regimens in individuals with advanced HIV disease. Otherwise, recent data indicating a higher risk of immune reconstitution inflammatory syndrome associated to the use of integrase inhibitors have raised concerns on the use of these drugs in patients with advanced HIV disease. The aim of this article is to review the available evidence from randomized clinical trials for the best treatment in patients with advanced HIV disease."
1000,0.015,3.0000,"Golgi protein-73 (GP73) is upregulated in cancers and viral infections; however, its role in human immunodeficiency virus (HIV) and acquired immune deficiency syndrome (AIDS) remains undetermined. GP73 was evaluated as a biomarker of HIV progression and AIDS treatment efficacy. Forty-eight HIV patients (≤ 350 CD4 + T cells/μL) undergoing highly active antiretroviral therapy (HAART group) and 18 HIV patients expected to undergo HAART within 9 months (>350 CD4 + T cells/μL) (control group) were enrolled in a prospective, single center, cohort study from May 2009 to Jun 2012. Blood aspartate aminotransferase, alanine aminotransferase (ALT), cholesterol, triglycerides, and total bilirubin were assessed at baseline, 2 weeks, and 1, 3, 6, 9, and 12 months (HAART group) or 3 month intervals (control group). Serum HIV RNA level (viral load) was determined by reverse-transcriptase polymerase chain reaction (RT-PCR), and serum and peripheral blood mononuclear cell (PBMC) GP73 concentration were determined by chemiluminescent immunoassay kit and western blot, respectively. Significant positive and negative correlations in baseline serum GP73 concentration and HIV viral load (r = 0.39, P < 0.001) and CD4 + T cell count (r = -0.501, P < 0.001) were observed, respectively. In receiver operator characteristic (ROC) analysis, area under the curve (AUC) was 0.79 (95 % CI 0.66-0.92). The sensitivity and specificity of GP73 for correct identification of patients with ≤350 CD4 + T cells/μL were 76.09 and 75.0 %, respectively, with an ROC-derived cut-off of 100.6 ng/mL. For HIV patients undergoing antiretroviral therapy, GP73 may be a potential biomarker treatment efficacy useful in AIDS management."
2416,0.01,2.0000,"Tuberculosis (TB) and human immunodeficiency virus/acquired immunodeficiency syndrome (HIV/AIDS) constitute the main burden of infectious disease in resource-limited countries. In the individual host, the two pathogens, Mycobacterium tuberculosis and HIV, potentiate one another, accelerating the deterioration of immunological functions. In high-burden settings, HIV coinfection is the most important risk factor for developing active TB, which increases the susceptibility to primary infection or reinfection and also the risk of TB reactivation for patients with latent TB. M. tuberculosis infection also has a negative impact on the immune response to HIV, accelerating the progression from HIV infection to AIDS. The clinical management of HIV-associated TB includes the integration of effective anti-TB treatment, use of concurrent antiretroviral therapy (ART), prevention of HIV-related comorbidities, management of drug cytotoxicity, and prevention/treatment of immune reconstitution inflammatory syndrome (IRIS). "
325,0.01,2.0000,"The aim of this study was to determine the risk factors associated with tuberculosis among human immunodeficiency virus (HIV)-infected persons living in Switzerland, a country with low prevalence of tuberculous infection. We performed a nested case-control study and logistic regression. Cases (n = 239) were patients participating in the Swiss-HIV Cohort study (n = 7,103), diagnosed with bacteriologically confirmed tuberculosis. The rest of the cohort population was used as control. Patients from industrialized countries had a risk of tuberculosis similar to those from Switzerland (adjusted odds ratio (OR) 1.1; 95% confidence interval (95% CI) 0.7-1.5); whereas the risk among patients from Eastern Europe (OR 2.8, 95% CI 1.9-3.7), Brazil (OR 10.6; 95% CI 9.6-11.5), and Africa (OR 3.0; 95% CI 2.4-3.6) was markedly higher. Immune suppression, as indicated by low CD4 + cell count, was an independent risk factor for tuberculosis (OR 7.8; 95% CI 7.3-8.3 for patients with CD4 + < 50 cells.mm-3 compared to those with CD4 + > 500 cells.mm-3). Age, sex and HIV-transmission category did not appear to increase the risk of tuberculosis after adjustment for other patient characteristics. In conclusion, in countries of low prevalence of Mycobacterium tuberculosis infection, to originate from a country with high prevalence of tuberculosis infection and to have advanced immunodeficiency are significant risk factors for tuberculosis. They may be used to complement the tuberculin skin test in targeting patients for preventive chemotherapy."
3769,0.01,2.0000,"The efficacy of specifically targeted anti-viral therapy for hepatitis C virus (HCV) (STAT-C), including HCV protease and polymerase inhibitors, is limited by the presence of drug-specific viral resistance mutations within the targeted proteins. Genetic diversity within these viral proteins also evolves under selective pressures provided by host human leukocyte antigen (HLA)-restricted immune responses, which may therefore influence STAT-C treatment response. Here, the prevalence of drug resistance mutations relevant to 27 developmental STAT-C drugs, and the potential for drug and immune selective pressures to intersect at sites along the HCV genome, is explored. HCV nonstructural (NS) 3 protease or NS5B polymerase sequences and HLA assignment were obtained from study populations from Australia, Switzerland, and the United Kingdom. Four hundred five treatment-naïve individuals with chronic HCV infection were considered (259 genotype 1, 146 genotype 3), of which 38.5% were coinfected with human immunodeficiency virus (HIV). We identified preexisting STAT-C drug resistance mutations in sequences from this large cohort. The frequency of the variations varied according to individual STAT-C drug and HCV genotype/subtype. Of individuals infected with subtype 1a, 21.5% exhibited genetic variation at a known drug resistance site. Furthermore, we identified areas in HCV protease and polymerase that are under both potential HLA-driven pressure and therapy selection and identified six HLA-associated polymorphisms (P <or= 0.05) at known drug resistance sites."
6306,0.01,2.0000,"Risk factors for HIV-1 infection among women were assessed through a population-based cross-sectional study in the Arusha region of northern Tanzania. The study participants were obtained by randomly selecting 10-household clusters from Unga limited, the town of Babati, and the roadside village of Matufa, which are urban, semi-urban, and rural communities, respectively. Informed verbal consent for participation in an interview and in HIV-1 testing was sought from each respondent. Blood samples were collected from each consenting individual for HIV-1 antibody testing using enzyme-linked immunosorbent assay (ELISA), and all positive sera were confirmed using repeated ELISA tests. Information of risk factors was obtained through the interview process using a structured questionnaire. Of the 567 women who gave blood samples, 48 (8.5%) were HIV-1 positive. The HIV-1 seroprevalence rates among women in the urban area, the semi-urban area, and the rural village were 14.4%, 6.9% and 2.3%, respectively. Factors associated with significantly higher HIV-1 seroprevalence were urban residence; history of having traveled out of the Arusha region within Tanzania, as well as having traveled abroad; having multiple sex partners; and having sexual intercourse under the influence of alcohol. Women who reported ever having used condoms had significantly higher probability of being infected with HIV-1 than those who had never used condoms, suggesting that condom use may be a marker of high-risk sexual behavior and that condom use is probably not adhered to in a way that consistently protects against HIV-1 infection. These results suggest the need for health education interventions aimed at increasing appropriate and consistent condom use and reduction of the number of sexual partners."
8078,0.01,2.0000,"Signal transducer and activator of transcription 3 (STAT3) is a DNA-binding transcription factor activated by multiple cytokines and interferons. High expression of STAT3 has also been implicated in cancer and lymphoma. Here, we show a case of B cell lymphoma in which a defective human immunodeficiency virus 1 (HIV-1) integrated upstream of the first STAT3 coding exon. The lymphoma cells with anaplastic large cell morphology formed multiple nodular lesions in the lung of an acquired immunodeficiency syndrome (AIDS) patient with Kaposi's sarcoma. The provirus had a 5' long terminal repeat (LTR) deletion, but the 3' LTR had stronger promoter activity than the STAT3 promoter in reporter assays. Immunohistochemistry showed increased expression of STAT3 in the nuclei of lymphoma cells. Transfection of STAT3 resulted in transient cell proliferation in primary B cells in vitro. Although this is a very rare case of HIV-1-integrated lymphoma, these data suggest that up-regulation of STAT3 caused by HIV-1 integration resulted in the development of B cell lymphoma in this special case."
7540,0.01,2.0000,"Hepatitis B virus (HBV) infection is a major cause of morbidity and mortality worldwide. Chronic hepatitis B (CHB) infection is associated with an increased risk of cirrhosis, hepatic decompensation and hepatocellular carcinoma (HCC). The likelihood of developing CHB is related to the age at which infection is acquired; the risk being lowest in adults and >90% in neonates whose mothers are hepatitis B e antigen positive. Treatment of CHB infection aims to clear HBV DNA and prevent the development of complications. There are currently seven drugs available for the treatment of CHB: five nucleos(t)ide analogues and two interferon-based therapies. Long-term treatment is often required, and the decision to treat is based on clinical assessment including the phase of CHB infection and the presence and extent of liver damage. A safe and effective HBV vaccine has been available since the early 1980s. Vaccination plays a central role in HBV prevention strategies worldwide, and a decline in the incidence and prevalence of HBV infection following the introduction of universal HBV vaccination programmes has been observed in many countries including the USA and parts of South East Asia and Europe. Post-exposure prophylaxis (PEP) with HBV vaccine +/- hepatitis B immunoglobulin is highly effective in preventing mother to child transmission and in preventing transmission following sharps injuries, sexual contact and other exposures to infected blood and body fluids. Transmission of HBV in the health care setting has become an increasingly rare event in developed nations. However, it remains a significant risk in developing countries reflecting the higher prevalence of CHB, limited access to HBV vaccination and PEP and a lack of adherence to standard infection control precautions."
