order,Term,Probability
1,ability,0.0005639339842021072
2,abnormality,0.0010257971382719644
3,absorptiometry,0.00023253527571441438
4,abstract,0.00048326859788383377
5,abuse,0.00048326859788383377
6,access,0.0010140628579194413
7,achieved,0.00023253527571441438
8,acquired,0.00048326859788383377
9,active,0.0005639339842021072
10,acute,0.0005794747432272374
11,addiction,0.0006703664416402068
12,adhere,0.0005639339842021072
13,adherence,0.005994195730287054
14,adjustment,0.00044772558514819997
15,adult,0.002831898284922163
16,advanced,0.0014834941455771438
17,age,0.0021300878465267286
18,aid,0.0022102972272817997
19,aim,0.0016494612712286312
20,alone,0.00044772558514819997
21,also,0.00048326859788383377
22,alter,0.0004944980485257146
23,alteration,0.0010899850421903624
24,although,0.0007936644298692166
25,alveolar,0.003777154327253527
26,alveolitis,0.0012623553250666177
27,always,0.0008954511702963999
28,ambulatory,0.00023253527571441438
29,among,0.006484273612658065
30,analysis,0.0034125361822712145
31,analyzed,0.0009250045996273213
32,androderm,0.00023253527571441438
33,antibody,0.0011600926726170928
34,antigen,0.0011060934526279233
35,antioxidant,0.0004944980485257146
36,antiretroviral,0.006916481368370721
37,april,0.0008954511702963999
38,area,0.0007402891607303691
39,art,0.004049077093346021
40,arteriovenous,0.00048326859788383377
41,article,0.0008423402022849165
42,asian,0.0004211414412749066
43,ass,0.0019181708871752906
44,assessed,0.001175101284850325
45,assigned,0.00023253527571441438
46,associated,0.006653172546339029
47,association,0.0013749704797340811
48,asymptomatic,0.00048326859788383377
49,atherosclerotic,0.0004944980485257146
50,australia,0.0006734900636120936
51,autogenous,0.0009665371957676675
52,available,0.0010899850421903624
53,average,0.00023253527571441438
54,aware,0.0006703664416402068
55,azidothymidine,0.0010257971382719644
56,azt,0.003077391414815893
57,bad,0.0005639339842021072
58,bal,0.0037870659751998536
59,barrier,0.004246320109607081
60,baseline,0.0024657006977905622
61,behavior,0.0017909023405927999
62,beta,0.0011310265402116038
63,better,0.0006703664416402068
64,biochemical,0.0010257971382719644
65,biopsy,0.0010257971382719644
66,bisexual,0.0013469801272241871
67,blood,0.0012623553250666177
68,blot,0.0007402891607303691
69,bmd,0.0024439009398379255
70,body,0.0020928174814297293
71,bone,0.003665851409756889
72,brief,0.0008423402022849165
73,bronchoalveolar,0.0006311776625333088
74,camp,0.0007402891607303691
75,capital,0.0007402891607303691
76,car,0.0022620530804232076
77,cardiovascular,0.0004944980485257146
78,care,0.002070021455622896
79,case,0.0005655132701058019
80,category,0.0006311776625333088
81,cc,0.0016494612712286312
82,cell,0.007945254386210064
83,center,0.00048326859788383377
84,cercaria,0.0005655132701058019
85,cerebrospinal,0.0021624774282663606
86,chain,0.0011310265402116038
87,challenge,0.0006703664416402068
88,change,0.0049406545643793185
89,changing,0.0005639339842021072
90,characteristic,0.0010257971382719644
91,characterize,0.0005655132701058019
92,china,0.0020110993249206205
93,chinese,0.0006703664416402068
94,chronic,0.0023178989729089497
95,chronically,0.0005794747432272374
96,ci,0.004258607314865174
97,circulating,0.0014288609946810989
98,circumcised,0.0007402891607303691
99,cited,0.0006703664416402068
100,city,0.0007402891607303691
101,clearance,0.0034091705790167876
102,cleared,0.0017384242296817124
103,clearer,0.0005639339842021072
104,clinical,0.0027197720296749154
105,clinically,0.0009448319978016867
106,clinician,0.0005639339842021072
107,coadministration,0.0010257971382719644
108,cohort,0.001769250470360992
109,coinfected,0.0019469965254618918
110,coinfection,0.0011310265402116038
111,collected,0.002991817330742828
112,combination,0.00132157725580145
113,combined,0.0006734900636120936
114,common,0.0023469634284875606
115,commonly,0.0011812704379298477
116,community,0.0006734900636120936
117,compared,0.001531428991544991
118,comparison,0.0025018935875441525
119,completed,0.0009915173516297164
120,complication,0.0009665371957676675
121,composition,0.0004944980485257146
122,computed,0.0005794747432272374
123,concern,0.0006703664416402068
124,concerning,0.0010899850421903624
125,condom,0.001044283146039927
126,conducted,0.002752597869456039
127,confidence,0.0011573050580679747
128,conflict,0.0005639339842021072
129,considered,0.0018124121402025102
130,consistent,0.0013363627396765615
131,contact,0.00044772558514819997
132,containing,0.0019496461639849812
133,content,0.0004944980485257146
134,continued,0.0004211414412749066
135,contracting,0.0007402891607303691
136,contrast,0.0006311776625333088
137,contribute,0.0004944980485257146
138,contributes,0.00023253527571441438
139,control,0.0004944980485257146
140,copy,0.00023253527571441438
141,correlate,0.0007014968871496715
142,correlated,0.0007014968871496715
143,count,0.005520431322314058
144,course,0.0020122251559523525
145,covariates,0.0009855657172089304
146,cox,0.0005794747432272374
147,critically,0.0010899850421903624
148,csf,0.0021624774282663606
149,cumulative,0.0005794747432272374
150,cvd,0.0009889960970514292
151,daily,0.0022094754245084234
152,dali,0.0006703664416402068
153,danish,0.0005794747432272374
154,data,0.0036623537327595164
155,death,0.0012623553250666177
156,decrease,0.00023253527571441438
157,decreased,0.0009636189598559454
158,decreasing,0.0011278679684042143
159,deficiency,0.0008423402022849165
160,demonstrated,0.0013987862064438303
161,density,0.0012219504699189628
162,depletion,0.00023253527571441438
163,dermatomyositis,0.0010257971382719644
164,descending,0.0005639339842021072
165,described,0.0012952490284424583
166,describes,0.0008423402022849165
167,designed,0.00023253527571441438
168,despite,0.0004211414412749066
169,detailed,0.0006311776625333088
170,detectable,0.0011589494864544748
171,determine,0.0017248386704689586
172,develop,0.0005655132701058019
173,developed,0.0010257971382719644
174,development,0.0005655132701058019
175,df,0.0019496461639849812
176,dialysis,0.0009665371957676675
177,died,0.0005794747432272374
178,dietary,0.0005639339842021072
179,difference,0.0007936644298692166
180,differentiation,0.0010257971382719644
181,dihydrotestosterone,0.00023253527571441438
182,dimension,0.0008423402022849165
183,discrete,0.0008423402022849165
184,discussed,0.0008423402022849165
185,disease,0.0027971932436308073
186,disoproxil,0.0019496461639849812
187,disorder,0.0021624774282663606
188,distinctive,0.0006703664416402068
189,distress,0.001684680404569833
190,dosage,0.0005639339842021072
191,drug,0.006289265924395229
192,dual,0.00023253527571441438
193,due,0.000998066496536099
194,durability,0.0005639339842021072
195,dysfunction,0.00023253527571441438
196,earlier,0.0008422828825498131
197,economic,0.0006703664416402068
198,effect,0.002277000563667924
199,effective,0.000930377957715536
200,efficacy,0.0019496461639849812
201,effort,0.0004211414412749066
202,eight,0.0009205070987171226
203,eighteen,0.00023253527571441438
204,either,0.0013393782672081725
205,electromyographic,0.0010257971382719644
