Identifier,N_kw = 5
1.0,#N/A
4.0,#N/A
10.0,#N/A
11.0,#N/A
26.0,2877
31.0,1580
41.0,#N/A
47.0,#N/A
50.0,#N/A
60.0,#N/A
76.0,#N/A
81.0,#N/A
84.0,2694
85.0,#N/A
86.0,693
87.0,136
88.0,2021
90.0,#N/A
100.0,#N/A
107.0,#N/A
111.0,3946
114.0,#N/A
115.0,4666
123.0,#N/A
124.0,2155
130.0,#N/A
140.0,630
142.0,1667
169.0,3593
177.0,2269
180.0,#N/A
183.0,#N/A
185.0,4656
187.0,2392
193.0,3875
197.0,3009
201.0,523
204.0,325
212.0,#N/A
217.0,3243
240.0,3863
245.0,#N/A
252.0,3052
253.0,1392
263.0,#N/A
270.0,#N/A
278.0,#N/A
285.0,1522
286.0,1169
288.0,4499
294.0,#N/A
297.0,1505
300.0,#N/A
301.0,524
302.0,3409
303.0,#N/A
309.0,#N/A
313.0,3347
315.0,3029
325.0,1192
328.0,#N/A
333.0,2671
342.0,1146
343.0,451
345.0,17
350.0,4527
351.0,#N/A
352.0,4091
356.0,#N/A
358.0,#N/A
368.0,#N/A
371.0,#N/A
373.0,#N/A
376.0,2961
380.0,#N/A
382.0,#N/A
391.0,4330
403.0,#N/A
406.0,1177
416.0,4025
417.0,#N/A
419.0,3454
426.0,#N/A
430.0,#N/A
433.0,2010
440.0,#N/A
441.0,4407
468.0,4584
471.0,689
483.0,#N/A
485.0,4257
487.0,1428
493.0,#N/A
494.0,#N/A
501.0,1725
508.0,4749
513.0,#N/A
521.0,#N/A
547.0,#N/A
569.0,#N/A
579.0,2102
585.0,2213
593.0,#N/A
596.0,137
601.0,#N/A
604.0,#N/A
606.0,3493
615.0,481
627.0,3448
635.0,1845
643.0,#N/A
652.0,#N/A
655.0,#N/A
656.0,1693
661.0,536
662.0,#N/A
665.0,2775
666.0,1345
668.0,4679
674.0,#N/A
686.0,#N/A
694.0,2003
700.0,#N/A
701.0,1460
705.0,#N/A
708.0,#N/A
711.0,#N/A
714.0,2093
715.0,3661
730.0,2261
733.0,2200
739.0,#N/A
743.0,#N/A
746.0,#N/A
750.0,723
755.0,#N/A
762.0,#N/A
763.0,125
769.0,4755
776.0,#N/A
778.0,#N/A
779.0,#N/A
782.0,899
787.0,4188
790.0,#N/A
796.0,#N/A
797.0,4699
798.0,#N/A
799.0,#N/A
800.0,1091
807.0,#N/A
817.0,#N/A
834.0,#N/A
835.0,#N/A
838.0,4010
839.0,#N/A
845.0,966
848.0,#N/A
851.0,#N/A
861.0,#N/A
874.0,#N/A
876.0,#N/A
879.0,1042
891.0,2825
903.0,#N/A
914.0,#N/A
919.0,637
921.0,3122
925.0,1472
931.0,#N/A
940.0,2937
950.0,#N/A
952.0,13
964.0,2140
968.0,#N/A
972.0,343
973.0,#N/A
974.0,1164
981.0,#N/A
997.0,#N/A
1012.0,3233
1018.0,#N/A
1024.0,3814
1027.0,#N/A
1029.0,#N/A
1030.0,#N/A
1039.0,#N/A
1041.0,#N/A
1043.0,#N/A
1045.0,#N/A
1048.0,1252
1054.0,2205
1063.0,#N/A
1076.0,#N/A
1082.0,3968
1088.0,#N/A
1103.0,#N/A
1105.0,#N/A
1106.0,#N/A
1108.0,#N/A
1111.0,3269
1112.0,#N/A
1117.0,3511
1120.0,3423
1121.0,#N/A
1127.0,472
1131.0,#N/A
1137.0,2653
1139.0,#N/A
1140.0,836
1149.0,#N/A
1151.0,3102
1159.0,1770
1160.0,229
1165.0,580
1167.0,4586
1168.0,#N/A
1179.0,#N/A
1184.0,2329
1185.0,1083
1186.0,#N/A
1190.0,1348
1194.0,#N/A
1195.0,#N/A
1198.0,4674
1203.0,#N/A
1210.0,#N/A
1219.0,#N/A
1231.0,1306
1233.0,#N/A
1241.0,4504
1242.0,#N/A
1245.0,#N/A
1246.0,4272
1248.0,2978
1254.0,#N/A
1256.0,#N/A
1261.0,698
1270.0,594
1273.0,#N/A
1276.0,1887
1280.0,2829
1287.0,4688
1288.0,1674
1290.0,#N/A
1295.0,#N/A
1298.0,1844
1312.0,394
1314.0,396
1320.0,1965
1327.0,4654
1331.0,#N/A
1333.0,#N/A
1337.0,#N/A
1343.0,#N/A
1351.0,#N/A
1358.0,#N/A
1362.0,#N/A
1368.0,#N/A
1382.0,#N/A
1389.0,4343
1393.0,#N/A
1397.0,4521
1416.0,#N/A
1435.0,#N/A
1442.0,#N/A
1457.0,86
1462.0,#N/A
1464.0,3927
1466.0,907
1477.0,1614
1481.0,#N/A
1488.0,1354
1492.0,#N/A
1494.0,#N/A
1495.0,1199
1500.0,3158
1502.0,#N/A
1504.0,#N/A
1506.0,2012
1509.0,2445
1510.0,1803
1512.0,#N/A
1513.0,#N/A
1526.0,521
1534.0,2706
1537.0,#N/A
1548.0,835
1553.0,265
1555.0,1073
1565.0,#N/A
1572.0,#N/A
1577.0,590
1595.0,#N/A
1613.0,#N/A
1614.0,4701
1618.0,602
1621.0,#N/A
1623.0,#N/A
1624.0,#N/A
1627.0,#N/A
1631.0,3634
1634.0,4268
1636.0,3273
1638.0,#N/A
1645.0,1616
1662.0,#N/A
1665.0,1105
1681.0,#N/A
1683.0,#N/A
1688.0,1727
1695.0,#N/A
1698.0,#N/A
1705.0,#N/A
1709.0,#N/A
1718.0,2075
1724.0,#N/A
1727.0,#N/A
1728.0,1744
1738.0,#N/A
1752.0,#N/A
