doc_id,ranking,BM25 score
1,,
4,,
10,2590.0,4.6905212
11,,
26,,
31,305.0,10.434296
41,,
47,2069.0,5.5522637
50,277.0,10.680139
60,,
76,1982.0,5.7195783
81,,
84,3364.0,3.9338984
85,,
86,,
87,,
88,,
90,,
100,,
107,763.0,8.357254
111,1662.0,6.3015213
114,1777.0,6.073827
115,4274.0,3.2231555
123,1365.0,6.874669
124,4878.0,2.4029155
130,3441.0,3.8685913
140,,
142,1652.0,6.313639
169,,
177,,
180,3717.0,3.6621666
183,,
185,568.0,8.999586
187,3600.0,3.7520597
193,,
197,98.0,13.733626
201,,
204,39.0,16.168257
212,2189.0,5.352949
217,,
240,789.0,8.298223
245,1819.0,6.0032563
252,3887.0,3.5298104
253,,
263,,
270,638.0,8.737156
278,,
285,,
286,,
288,2975.0,4.25126
294,,
297,3682.0,3.681797
300,,
301,938.0,7.911413
302,,
303,,
309,,
313,2725.0,4.5218263
315,1522.0,6.5666146
325,,
328,1113.0,7.491625
333,,
342,,
343,,
345,236.0,11.290775
350,,
351,815.0,8.239539
352,1893.0,5.8525968
356,2017.0,5.6586995
358,1358.0,6.904032
368,,
371,,
373,3735.0,3.64918
376,464.0,9.542709
380,1866.0,5.899331
382,,
391,1439.0,6.7277737
403,,
406,1920.0,5.806301
416,,
417,,
419,,
426,,
430,,
433,3948.0,3.4883657
440,1784.0,6.062576
441,3811.0,3.5852652
468,,
471,104.0,13.653923
483,2868.0,4.360486
485,262.0,10.93683
487,,
493,,
494,,
501,2609.0,4.664543
508,,
513,4794.0,2.6005483
521,,
547,4569.0,2.9475906
569,189.0,11.98365
579,,
585,,
593,20.0,18.187586
596,3285.0,3.9893239
601,,
604,4115.0,3.3464005
606,1706.0,6.209228
615,4206.0,3.2731538
627,1173.0,7.3465967
635,,
643,,
652,,
655,3841.0,3.5664277
656,2147.0,5.44575
661,1757.0,6.126544
662,3927.0,3.5003407
665,,
666,4621.0,2.8853202
668,2703.0,4.5477476
674,,
686,1328.0,6.9592147
694,,
700,1414.0,6.7731566
701,7.0,24.136297
705,,
708,,
711,,
714,3311.0,3.9727707
715,,
730,2402.0,4.9889784
733,4890.0,2.3712616
739,,
743,3775.0,3.619984
746,41.0,16.12286
750,316.0,10.380666
755,,
762,4851.0,2.4695563
763,,
769,,
776,,
778,,
779,,
782,2862.0,4.366855
787,734.0,8.436887
790,4097.0,3.3645937
796,,
797,,
798,3787.0,3.6062922
799,,
800,,
807,,
817,,
834,,
835,,
838,,
839,,
845,,
848,63.0,14.885517
851,,
861,,
874,,
876,,
879,153.0,12.503914
891,,
903,,
914,3704.0,3.6668866
919,473.0,9.462211
921,4541.0,2.9765573
925,3050.0,4.1804447
931,,
940,,
950,,
952,2749.0,4.479109
964,,
968,,
972,,
973,,
974,,
981,,
997,,
1012,3754.0,3.6376495
1018,,
1024,2766.0,4.459918
1027,2322.0,5.1341615
1029,,
1030,1313.0,6.9881053
1039,,
1041,,
1043,,
1045,,
1048,2859.0,4.3691816
1054,2389.0,5.021982
1063,,
1076,,
1082,,
1088,,
1103,,
1105,133.0,12.924448
1106,,
1108,,
1111,,
1112,,
1117,3068.0,4.1621604
1120,57.0,15.23633
1121,1646.0,6.323208
1127,82.0,14.084468
1131,,
1137,1192.0,7.2837033
1139,,
1140,2323.0,5.130871
1149,,
1151,,
1159,,
1160,,
1165,,
1167,3379.0,3.9219553
1168,4195.0,3.2832124
1179,,
1184,408.0,9.806961
1185,,
1186,,
1190,,
1194,1440.0,6.727503
1195,,
1198,,
1203,,
1210,,
1219,893.0,8.038428
1231,1838.0,5.967695
1233,,
1241,1503.0,6.5997043
1242,,
1245,,
1246,1575.0,6.446525
1248,,
1254,2152.0,5.435499
1256,2804.0,4.420134
1261,2614.0,4.652936
1270,,
1273,4491.0,3.0266511
1276,644.0,8.716405
1280,,
1287,4712.0,2.7442958
1288,,
1290,3099.0,4.1385713
1295,4506.0,3.0110626
1298,,
1312,434.0,9.660983
1314,,
1320,,
1327,,
1331,,
1333,,
1337,,
1343,,
1351,2811.0,4.4133563
1358,,
