doc_id,ranking,BM25 score
31,866,9.069816
50,812,9.202209
114,897,8.985995
197,478,10.472621
204,96,14.332103
270,984,8.732959
313,990,8.72341
345,145,13.206871
351,909,8.954848
376,697,9.601146
471,72,14.991936
569,474,10.498399
593,65,15.263935
627,851,9.105437
701,5,25.494013
730,808,9.215573
746,25,17.026667
750,15,18.347878
787,539,10.206119
807,602,9.973922
848,77,14.733917
919,330,11.327694
968,674,9.689238
1105,657,9.756641
1120,235,11.938775
1127,371,11.064062
1184,134,13.372723
1219,427,10.787979
1241,499,10.368316
1312,209,12.214643
1389,386,10.962623
1506,158,12.984711
1510,568,10.099893
1555,202,12.383117
1577,630,9.84044
1636,103,14.11496
1638,265,11.735214
1681,278,11.635813
1695,214,12.165855
1718,41,16.265495
1764,217,12.137189
1810,881,9.025452
1832,43,16.18051
1833,230,12.001012
1858,685,9.6596775
1894,40,16.281235
1957,640,9.819361
2021,352,11.155648
2102,17,18.236208
2104,75,14.822979
2169,39,16.301325
2170,869,9.065169
2220,614,9.903966
2359,1,30.143715
2385,830,9.142612
2404,20,17.580877
2464,618,9.889695
2532,963,8.787757
2578,699,9.598728
2640,475,10.497269
2754,554,10.150597
2830,198,12.448038
2964,211,12.19913
3020,584,10.054513
3086,51,15.853753
3128,763,9.374428
3156,213,12.168404
3206,338,11.278873
3340,336,11.292481
3367,449,10.671887
3429,9,20.7975
3444,368,11.082992
3472,798,9.241072
3522,666,9.716693
3601,586,10.04425
3608,606,9.945436
3629,172,12.792962
3665,767,9.356908
3733,66,15.237249
3762,137,13.32738
3776,837,9.128556
3793,84,14.533226
3991,863,9.079659
4161,676,9.686012
4193,46,16.143578
4204,487,10.419433
4228,257,11.772255
4266,934,8.86958
4436,16,18.339705
4455,838,9.126428
4469,651,9.7925205
4601,643,9.813356
4622,340,11.266418
4656,346,11.197305
4759,459,10.576423
4821,519,10.297511
4865,571,10.089137
4870,644,9.808834
4918,401,10.892987
4996,23,17.224953
4999,192,12.534443
5074,189,12.5849495
5096,298,11.512137
5108,843,9.122145
5234,502,10.357992
5237,895,8.991318
5334,715,9.534974
5412,261,11.744951
5423,61,15.321522
5424,347,11.185817
5502,11,18.938349
5514,872,9.052413
5550,191,12.574713
5579,766,9.360473
5795,282,11.625236
5808,636,9.826821
5828,458,10.5769615
5847,407,10.883348
5858,101,14.167836
5872,27,16.989761
5884,245,11.841623
5967,482,10.452613
6133,1000,8.695508
6144,942,8.836237
6218,249,11.825827
6247,98,14.279775
6315,69,15.0815115
6383,35,16.410402
6505,973,8.769966
6514,99,14.276964
6564,129,13.507819
6662,110,13.850796
6681,37,16.380535
6718,525,10.271629
6733,833,9.132417
6736,398,10.902934
6860,433,10.761598
6891,987,8.727403
6906,612,9.912613
6961,780,9.310678
6986,528,10.266616
7090,752,9.411208
7094,701,9.589724
7202,87,14.463171
7274,902,8.970728
7362,161,12.930364
7371,919,8.910167
7381,270,11.701919
7437,565,10.113379
7470,382,10.989582
7533,463,10.554868
7542,488,10.416284
7572,788,9.274075
7624,59,15.508099
7631,112,13.820238
7643,181,12.674332
7676,216,12.149867
7698,580,10.062919
7848,634,9.831741
7865,653,9.784754
7872,455,10.603275
7878,982,8.738573
7981,115,13.67728
8036,732,9.473006
8073,197,12.453897
8170,903,8.969777
8225,787,9.282746
8226,201,12.38373
8266,285,11.591277
8269,279,11.630163
8329,79,14.729761
8420,907,8.960631
8471,331,11.317597
8478,652,9.790309
8544,816,9.192703
8555,860,9.085059
8659,218,12.136404
8691,548,10.165381
8738,679,9.682161
8755,745,9.426796
8762,53,15.807384
8890,288,11.569408
8896,656,9.759679
8913,141,13.265973
8937,508,10.325118
9046,90,14.418681
9062,118,13.645131
9171,24,17.059624
9205,50,15.909521
9277,431,10.767001
9292,421,10.807338
9402,187,12.612467
9517,215,12.150665
9531,730,9.483799
9648,712,9.542962
9679,58,15.604519
9724,396,10.9155
9732,133,13.443555
9743,778,9.322784
9750,562,10.119693
9812,775,9.335201
9899,372,11.059082
9940,286,11.586356
9967,333,11.308383
