Doc No.,Order,Label,BM25 Score,Title,Abstract
Doc No.1,14248,positive/labeled,56.309353,"Effects of testosterone replacement with a nongenital, transdermal system, Androderm, in human immunodeficiency virus-infected men with low testosterone levels.","Although weight loss associated with human immunodeficiency virus (HIV) infection is multifactorial in its pathogenesis, it has been speculated that hypogonadism, a common occurrence in HIV disease, contributes to depletion of lean tissue and muscle dysfunction. We, therefore, examined the effects of testosterone replacement by means of Androderm, a permeation-enhanced, nongenital transdermal system, on lean body mass, body weight, muscle strength, health-related quality of life, and HIV-disease markers. We randomly assigned 41 HIV-infected, ambulatory men, 18-60 yr of age, with serum testosterone levels below 400 ng/dL, to 1 of 2 treatment groups: group I, two placebo patches (n = 21); or group II, two testosterone patches designed to release 5 mg testosterone over 24 h. Eighteen men in the placebo group and 14 men in the testosterone group completed the 12-week treatment. Serum total and free testosterone and dihydrotestosterone levels increased, and LH and FSH levels decreased in the testosterone-treated, but not in the placebo-treated, men. Lean body mass and fat-free mass, measured by dual energy x-ray absorptiometry, increased significantly in men receiving testosterone patches [change in lean body mass, +1.345 +/- 0.533 kg (P = 0.02 compared to no change); change in fat-free mass, +1.364 +/- 0.525 kg (P = 0.02 compared to no change)], but did not change in the placebo group [change in lean body mass, 0.189 +/- 0.470 kg (P = NS compared to no change); change in fat-free mass, 0.186 +/- 0.470 kg (P = NS compared to no change)]. However, there was no significant difference between the 2 treatment groups in the change in lean body mass. The change in lean body mass during treatment was moderately correlated with the increment in serum testosterone levels (r = 0.41; P = 0.02). The testosterone-treated men experienced a greater decrease in fat mass than those receiving placebo patches (P = 0.04). There was no significant change in body weight in either treatment group. Changes in overall quality of life scores did not correlate with testosterone treatment; however, in the subcategory of role limitation due to emotional problems, the men in the testosterone group improved an average of 43 points of a 0-100 possible score, whereas those in the placebo group did not change. Red cell count increased in the testosterone group (change in red cell count, +0.1 +/- 0.1 10(12)/L) but decreased in the placebo group (change in red cell count, -0.2 +/- 0.1 10(12)/L). CD4+ and CD8+ T cell counts and plasma HIV copy number did not significantly change during treatment. Serum prostate-specific antigen and plasma lipid levels did not change in either treatment group. Testosterone replacement in HIV-infected men with low testosterone levels is safe and is associated with a 1.35-kg gain in lean body mass, a significantly greater reduction in fat mass than that achieved with placebo treatment, an increased red cell count, and an improvement in role limitation due to emotional problems. Further studies are needed to assess whether testosterone supplementation can produce clinically meaningful changes in muscle function and disease outcome in HIV-infected men."
Doc No.2,1399,negative/unlabeled,39.41706,"Fasting hyperinsulinemia in human immunodeficiency virus-infected men: relationship to body composition, gonadal function, and protease inhibitor use.","Fat redistribution in the setting of protease inhibitor use is increasingly common and is associated with insulin resistance in human immunodeficiency virus (HIV)-infected patients. However, little is known regarding the factors that may contribute to abnormal insulin regulation in this population. We assessed fasting insulin levels in HIV-infected men and determined the relationship among insulin, body composition, endogenous gonadal steroid concentrations, and antiviral therapy in this population. We also determined the effects of exogenous testosterone administration using the homeostatic model for insulin resistance (HOMA IR) in hypogonadal HIV-infected men with the acquired immunodeficiency syndrome wasting syndrome. Fifty HIV-infected men with acquired immunodeficiency syndrome wasting were compared with 20 age- and body mass index (BMI)-matched healthy control subjects. Insulin concentrations were significantly increased in HIV-infected patients compared to those in control patients (16.6+/-1.8 vs. 10.4+/-0.8 microU/mL; P<0.05) and were increased in nucleoside reverse transcriptase (NRTI)-treated patients who did not receive a protease inhibitor (PI; 21.7+/-4.3 vs. 10.4+/-0.8 microU/mL; P<0.05). Insulin concentrations and HOMA IR were inversely correlated with the serum free testosterone concentration (r = -0.36; P = 0.01 for insulin level; r = -0.30; P = 0.03 for HOMA), but not to body composition parameters, age, or BMI. In a multivariate regression analysis, free testosterone (P = 0.05), BMI (P<0.01), and lean body mass (P = 0.04) were significant. Lower lean body mass and higher BMI predicted increased insulin resistance. The HIV-infected patients demonstrated an increased trunk fat to total fat ratio (0.49+/-0.02 vs. 0.45+/-0.02; P<0.05) and an increased trunk fat to extremity fat ratio (1.27+/-0.09 vs. 0.95+/-0.06, P = 0.01), but a reduced extremity fat to total fat ratio (0.44+/-0.01 vs. 0.49 + 0.01; P = 0.02) and reduced overall total body fat (13.8+/-0.7 vs. 17.2+/-0.9 kg; P<0.01) compared to the control subjects. Increased truncal fat and reduced extremity fat were seen among NRTI-treated patients, but this pattern was most severe among patients receiving combined NRTI and PI therapy [trunk fat to extremity ratio, 1.47+/-0.15 vs. 0.95+/-0.06 (P<0.01); extremity fat to total fat ratio, 0.40+/-0.02 vs. 0.49+/-0.01 (P<0.05)]. Insulin responses to testosterone administration were investigated among 52 HIV-infected men with hypogonadism and wasting (weight <90% ideal body weight and/or weight loss >10%) randomized to either testosterone (300 mg, im, every 3 weeks) or placebo for 6 months. Testosterone administration reduced HOMA IR in the HIV-infected men (-0.6+/-0.7 vs. +1.41+/-0.8, testosterone vs. placebo, P = 0.05) in association with increased lean body mass (P = 0.02). These data demonstrate significant hyperinsulinemia in HIV-infected patients, which can occur in the absence of PI use. In NRTI-treated patients not receiving PI, a precursor phenotype is apparent, with increased truncal fat, reduced extremity fat, and increased insulin concentrations. This phenotype is exaggerated in patients receiving PI therapy, with further increased truncal fat and reduced extremity fat, although hyperinsulinemia per se is not worse. Endogenous gonadal steroid levels are inversely related to hyperinsulinemia in HIV-infected men, but reduced lean body mass and increased weight are the primary independent predictors of hyperinsulinemia. Indexes of insulin sensitivity improve in response to physiological androgen administration among hypogonadal HIV-infected patients, and this change is again related primarily to increased lean body mass in response to testosterone administration."
Doc No.3,1953,positive/labeled,38.85874,Soluble levels of receptor for advanced glycation endproducts and dysfunctional high-density lipoprotein in persons infected with human immunodeficiency virus: ACTG NWCS332.,"The role of high-density lipoprotein (HDL) function and advanced glycation end products (AGEs) in HIV-related atherosclerotic cardiovascular disease (CVD) is unclear. Both glycation and oxidation (HDLox) are major modifications of HDL that can alter its composition and function. Therefore, we explored the longitudinal association of HDLox with progression of glycation, as evaluated by measurement of circulating forms of receptor for AGE that predict morbidity (soluble Receptors for Advanced Glycation Endproducts [sRAGE], endogenous secretory Receptors for Advanced Glycation Endproducts [esRAGE]), in people with HIV-1 (PWH; HIV-1) and uninfected (HIV-1) individuals.We retrospectively assessed if levels of plasma sRAGE and esRAGE and HDL function (reduced antioxidant function is associated with increased HDL lipid hydroperoxide content; HDLox) in a subset of participants (n = 80) from a prospective 3-year study (AIDS Clinical Trials Group A5078). Primary outcomes were baseline and yearly rates of change over 96 of 144 weeks (Δ) in HDLox in HIV-1 versus uninfected HIV-1 controls (noted as HIV-1).Higher baseline levels of sRAGE in PWH on effective anti-retroviral therapy and with low CVD risk, but not in HIV-1 persons, were independently associated with higher HDLox. EsRAGE, but not sRAGE, had consistent inverse relationships with ΔHDLox in both HIV-1 and HIV-1 persons at baseline. In HIV-1 but not in HIV-1 persons, ΔHDLox had positive and inverse relationships with ΔRAGE and ΔesRAGE, respectively.Glycation and oxidation of HDL may contribute to impaired HDL function present in PWH."
Doc No.4,4498,negative/unlabeled,35.369545,Can androgen therapy replete lean body mass and improve muscle function in wasting associated with human immunodeficiency virus infection?,"A significant number of men who are infected with the human immunodeficiency virus (HIV) have low testosterone levels. Androgen deficiency in HIV-infected patients is associated with decreased muscle mass and function, and adverse disease outcome. Administration of replacement doses of testosterone to healthy hypogonadal men augments lean body mass, muscle size, and maximal voluntary strength. Recent studies have shown that physiologic testosterone replacement in HIV-infected men with weight loss who have low testosterone levels can also increase muscle mass and effort-dependent strength. However, further studies are needed to determine whether androgen therapy can improve physical function and health-related outcomes in HIV-infected men."
Doc No.5,9658,negative/unlabeled,31.503817,The effects of an ActRIIb receptor Fc fusion protein ligand trap in juvenile simian immunodeficiency virus-infected rhesus macaques.,"There are no approved therapies for muscle wasting in children infected with human immunodeficiency virus (HIV), which portends poor disease outcomes. To determine whether a soluble ActRIIb receptor Fc fusion protein (ActRIIB.Fc), a ligand trap for TGF-β/activin family members including myostatin, can prevent or restore loss of lean body mass and body weight in simian immunodeficiency virus (SIV)-infected juvenile rhesus macaques (Macaca mulatta). Fourteen pair-housed, juvenile male rhesus macaques were inoculated with SIVmac239 and, 4 wk postinoculation (WPI) treated with intramuscular injections of 10 mg ⋅ kg(-1) ⋅ wk(-1) ActRIIB.Fc or saline placebo. Body weight, lean body mass, SIV titers, and somatometric measurements were assessed monthly for 16 wk. Age-matched SIV-infected rhesus macaques were injected with saline. Intervention groups did not differ at baseline. Gains in lean mass were significantly greater in the ActRIIB.Fc group than in the placebo group (P < 0.001). Administration of ActRIIB.Fc was associated with greater gains in body weight (P = 0.01) and upper arm circumference than placebo. Serum CD4(+) T-lymphocyte counts and SIV copy numbers did not differ between groups. Administration of ActRIIB.Fc was associated with higher muscle expression of myostatin than placebo. ActRIIB.Fc effectively blocked and reversed loss of body weight, lean mass, and fat mass in juvenile SIV-infected rhesus macaques."
Doc No.6,17148,negative/unlabeled,29.289692,Prevalence of hypogonadism among men with weight loss related to human immunodeficiency virus infection who were receiving highly active antiretroviral therapy.,"Previous studies have indicated that there is a significant prevalence (50%) of hypogonadism among men with acquired immunodeficiency syndrome (AIDS)-associated wasting, and for these patients testosterone administration has been shown to increase lean body mass and improve quality of life. However, the prevalence of hypogonadism is not known among men with weight loss related to human immunodeficiency virus (HIV) infection who are receiving highly active antiretroviral therapy (HAART). From 1997 through 1999, we investigated total and free testosterone levels in 90 men who were <90% of ideal body weight or had weight loss of >10% from preillness weight; 71% of these subjects were receiving HAART. Twenty-one percent of the subjects receiving HAART had low free testosterone levels. No correlation was seen between weight, CD4 cell count, medication status, and other clinical factors. These data suggest that hypogonadism remains relatively common in men with AIDS wasting, despite treatment with HAART. HIV-infected men with wasting syndrome should be screened for hypogonadism and receive physiological androgen replacement therapy if they are hypogonadal."
Doc No.7,6561,negative/unlabeled,26.243504,Effects of pharmacological doses of nandrolone decanoate and progressive resistance training in immunodeficient patients infected with human immunodeficiency virus.,"This nonplacebo-controlled, open label, randomized study was conducted to test the hypotheses that pharmacological doses of nandrolone decanoate would increase lean body tissue, muscle mass, and strength in immunodeficient human immunodeficiency virus-infected men, and that these effects would be enhanced with progressive resistance training (PRT). Thirty human immunodeficiency virus-positive men with fewer than 400 CD4 lymphocytes/mm3 were randomly assigned to receive weekly injections of nandrolone alone or in combination with supervised PRT at 80% of the one-repetition maximum three times weekly for 12 weeks. Total body weight increased significantly in both groups (3.2 +/- 2.7 and 4.0 +/- 2.0 kg, respectively; P < 0.001), with increases due primarily to augmentation of lean tissue. Lean body mass determined by dual energy x-ray absorptiometry increased significantly more in the PRT group (3.9 +/- 2.3 vs. 5.2 +/- 5.7 kg, respectively; P = 0.03). Body cell mass by bioelectrical impedance analysis increased significantly (P < 0.001) in both groups (2.6 +/- 1.0 vs. 2.9 +/- 0.8 kg), but to a similar magnitude (P = NS). Significant increases in cross-sectional area by magnetic resonance imaging of total thigh muscles (1538 +/- 767 and 1480 +/- 532 mm2), quadriceps (705 +/- 365 and 717 +/- 288 mm2), and hamstrings (842 +/- 409 and 771 +/- 295 mm2) occurred with both treatment strategies (P < 0.001 for the three muscle areas); these increases were similar in both groups (P = NS). By the one-repetition method, strength increased in both upper and lower body exercises, with gains ranging from 10.3-31% in the nandrolone group and from 14.4-53.0% in the PRT group (P < 0.006 with one exception). Gains in strength were of significantly greater magnitude in the PRT group (P < or = 0.005 for all comparisons), even after correction for lean body mass. Thus, pharmacological doses of nandrolone decanoate yielded significant gains in total weight, lean body mass, body cell mass, muscle size, and strength. The increases in lean body mass and muscular strength were significantly augmented with PRT."
Doc No.8,7476,positive/labeled,23.153399,The use of a transscrotal testosterone delivery system in the treatment of patients with weight loss related to human immunodeficiency virus infection.,Weight loss is a strong predictor of morbidity and mortality in human immunodeficiency virus (HIV)-infected patients. Men with acquired immunodeficiency syndrome (AIDS) lose body cell mass. Hypogonadism is also common. This study tested the efficacy of a testosterone transscrotal patch (6 mg/day) in improving body cell mass and treating hypogonadism in these patients.
Doc No.9,11609,negative/unlabeled,23.123142,Human Immunodeficiency Virus Infection and Male Hypogonadism: A Review.,"Hypogonadism is a common complication among HIV infected patients. The prevalence of hypogonadism is 30 to 50% in HIV infected men with wasting syndrome and 20 to 25% in those without wasting syndrome. HIV infection affects the entire hypothalamus-pituitary-gonadal axis via both direct and indirect effects, which are defined in four categories, 1) direct effect of HIV particles, 2) opportunistic infections, 3) HIV-related malignancy and its treatment, and 4) medications that are used for HIV infection or its opportunistic infection. The association between HIV infection, hypogonadism, and cardiovascular diseases has yet to be determined; however, there are data that HIV infection and its treatment, particularly protease inhibitors, worsened the metabolic profiles, which were surrogate markers of cardiovascular diseases. Considerably more attention should be paid to the diagnosis of hypogonadism in this group particularly because HIV infection increases both sex hormone-binding globulin and total testosterone level. Testosterone replacement shows benefits on mood, body composition, and seems to benefit the metabolic profile in HIV infected men with low body mass index."
Doc No.10,8950,positive/labeled,22.39781,"Relationship between osteopenia, free testosterone, and vitamin D metabolite levels in HIV-infected patients with and without highly active antiretroviral therapy.","The prevalence of osteopenia in HIV-infected patients is high. However, the mechanisms implicated in bone mass loss in HIV infection are unclear. Because of this, we analyzed serum free testosterone and vitamin D3 hydroxylated metabolites in HIV-infected patients, with and without antiretroviral treatment, and the relation between them and osteopenia. Seventy-four HIV-infected patients were selected because they had frozen sera available at a date close to a DEXA evaluation. Free testosterone, 25(OH)D3, and 1,25(OH)2D3 were determined in frozen serum. There were no differences in free testosterone, 25(OH)D3, and 1,25(OH)2D3 levels between patients with and without osteopenia. 25(OH)D3 levels in naive and HAART-treated patients were 26.2 (10.3-32.8) and 33.1 (20.6-46.8) ng/ml, respectively (p = 0.04). 1,25(OH)2D3 levels in naive and HAART treated patients were 60.3 (49.2-80.8) and 85.5 (68-111.6) pmol/liter (p = 0.01). Free testosterone levels in 9 naive men and in 50 HAART-treated men were 42.6 (24.1-67.3) and 69.2 (47.5-112.1) pmol/liter, respectively (p = 0.04). In conclusion, HIV-infected patients with and without osteopenia showed similar levels of vitamin D metabolites and free testosterone. However, antiretroviral drug-naive patients showed lower serum levels of vitamin D metabolites and free testosterone than HAART-treated patients."
