Doc No.,Order,Label,BM25 Score,Title,Abstract
Doc No.1,8908,negative/unlabeled,39.668304,Impact of viral activators and epigenetic regulators on HIV-1 LTRs containing naturally occurring single nucleotide polymorphisms.,"Following human immunodeficiency virus type 1 (HIV-1) integration into host cell DNA, the viral promoter can become transcriptionally silent in the absence of appropriate signals and factors. HIV-1 gene expression is dependent on regulatory elements contained within the long terminal repeat (LTR) that drive the synthesis of viral RNAs and proteins through interaction with multiple host and viral factors. Previous studies identified single nucleotide polymorphisms (SNPs) within CCAAT/enhancer binding protein (C/EBP) site I and Sp site III (3T, C-to-T change at position 3, and 5T, C-to-T change at position 5 of the binding site, respectively, when compared to the consensus B sequence) that are low affinity binding sites and correlate with more advanced stages of HIV-1 disease. Stably transfected cell lines containing the wild type, 3T, 5T, and 3T5T LTRs were developed utilizing bone marrow progenitor, T, and monocytic cell lines to explore the LTR phenotypes associated with these genotypic changes from an integrated chromatin-based microenvironment. Results suggest that in nonexpressing cell clones LTR-driven gene expression occurs in a SNP-specific manner in response to LTR activation or treatment with trichostatin A treatment, indicating a possible cell type and SNP-specific mechanism behind the epigenetic control of LTR activation. "
Doc No.2,2394,negative/unlabeled,29.279804,Food insecurity is associated with increased risk of non-adherence to antiretroviral therapy among HIV-infected adults in the Democratic Republic of Congo: a cross-sectional study.,"Food insecurity is increasingly reported as an important barrier of patient adherence to antiretroviral therapy (ART) in both resource-poor and rich settings. However, unlike in resource rich-settings, very few quantitative studies to date have investigated the association of food insecurity with patient adherence to ART in Sub-Saharan Africa. The current study examines the association between food insecurity and adherence to ART among HIV-infected adults in the Democratic Republic of Congo (DRC)."
Doc No.3,2359,positive/labeled,29.183979,Food insecurity is associated with incomplete HIV RNA suppression among homeless and marginally housed HIV-infected individuals in San Francisco.,"There is growing international concern that food insecurity may negatively impact antiretroviral (ARV) treatment outcomes, but no studies have directly evaluated the effect of food insecurity on viral load suppression and antiretroviral adherence. We hypothesized that food insecurity would be associated with poor virologic response among homeless and marginally housed HIV-positive ARV-treated patients."
Doc No.4,8438,negative/unlabeled,28.045769,"Patient-provider interaction, patient satisfaction, and health outcomes: testing explanatory models for people living with HIV/AIDS.","In the era of highly active antiretroviral therapy era, medication adherence and health-related quality of life (HRQOL) have become critical issues for people living with HIV/AIDS (PLWH). The purpose of this study was to test explanatory models of how patient-provider interaction and patient satisfaction are related to medication adherence and HRQOL for PLWH. A total of 344 PLWH receiving health-care services from a federally funded clinic in the southwest USA completed a survey questionnaire about their perception of interactions with providers, their satisfaction with services, their medication adherence, and their HRQOL. Comparing four latent variable structural equation models of direct and mediated effects of patient-provider interaction and patient satisfaction, the findings illustrate that the best model is one in which patient-provider interaction has a direct and positive effect on patient satisfaction, medication adherence, and HRQOL. These findings suggest that quality patient-provider interaction is a critical element of health-care services for PLWH, while patient satisfaction is an outcome measure and not a mediating factor for medication adherence and HRQOL. "
Doc No.5,1795,negative/unlabeled,26.248034,Supplementary feeding in the care of the wasted HIV infected patient.,"Wasting and food insecurity are commonly seen in patients receiving antiretroviral treatment (ART) programs in sub-Saharan Africa and south Asia, and supplementary feeding is often offered in conjunction with ART. Evidence for the effectiveness of such supplementary feeding is scant. A randomised, investigator-blinded, controlled clinical trial of two types of supplementary food, corn/soy blended flour and a ready-to-use peanut butter-based lipid paste, in wasted adults in Blantyre, Malawi is described and the results summarised. A historical control group who did not receive supplementary food is described as well. Provision of about half of the daily energy requirement as a supplementary food for 14 weeks resulted in more rapid restoration of a normal BMI; and the energy-dense, ready-to-use paste was associated with more rapid weight gain than the blended flour. Survival was similar among the 3 groups. The strong association between lower BMI and survival indirectly suggests that there may well be clinical benefit from supplementary feeding in this population. No differences were seen in ART adherence or quality of life with more rapid restoration of BMI. Further research is urgently needed concerning the widespread practice of supplementary feeding in HIV/AIDS care to most effectively utilize this intervention."
Doc No.6,8417,negative/unlabeled,25.388336,Bounded agency in humanitarian settings: a qualitative study of adherence to antiretroviral therapy among refugees situated in Kenya and Malaysia.,"HIV-positive refugees confront a variety of challenges in accessing and adhering to antiretroviral therapy (ART) and attaining durable viral suppression; however, there is little understanding of what these challenges are, how they are navigated, or how they may differ across humanitarian settings. We sought to document and examine accounts of the threats, barriers and facilitators experienced in relation to HIV treatment and care and to conduct comparisons across settings. We conducted semi-structured interviews among a purposive sample of 14 refugees attending a public, urban HIV clinic in Kuala Lumpur, Malaysia (July-September 2010), and 12 refugees attending a camp-based HIV clinic in Kakuma, Kenya (February-March 2011). We used framework methods and between-case comparison to analyze and interpret the data, identifying social and environmental factors that influenced adherence. The multiple issues that threatened adherence to antiretroviral therapy or precipitated actual adherence lapses clustered into three themes: ""migration"", ""insecurity"", and ""resilience"". The migration theme included issues related to crossing borders and integrating into treatment systems upon arrival in a host country. Challenges related to crossing borders were reported in both settings, but threats pertaining to integration into, and navigation of, a new health system were exclusive to the Malaysian setting. The insecurity theme included food insecurity, which was most commonly reported in the Kenyan setting; health systems insecurity, reported in both settings; and emotional insecurity, which was most common in the Kenyan setting. Resilient processes were reported in both settings. We drew on the concept of ""bounded agency"" to argue that, despite evidence of personal and community resilience, these processes were sometimes insufficient for overcoming social and environmental barriers to adherence. In general, interventions might aim to bolster individuals' range of action with targeted support that bolsters resilient processes. Specific interventions are needed to address locally-based food and health system insecurities. "
Doc No.7,701,positive/labeled,24.136297,Food insecurity is associated with poor virologic response among HIV-infected patients receiving antiretroviral medications.,Food insecurity negatively impacts HIV disease outcomes in international settings. No large scale U.S. studies have investigated the association between food insecurity and severity of HIV disease or the mechanism of this possible association. The objective of this study was to examine the impact of food insecurity on HIV disease outcomes in a large cohort of HIV-infected patients receiving antiretroviral medications.
Doc No.8,7079,negative/unlabeled,21.83898,CD28 costimulation and CD28 expression in T lymphocyte subsets in HIV-1 infection with and without progression to AIDS.,"In a prospective study of 152 HIV-1 patients (with and without progression to AIDS) we examined CD28 MoAb costimulation and CD3 MoAb response using whole blood culture at baseline and up to either the time of AIDS diagnosis or the end of the observation period. CD28 antigen expression on both CD4+ and CD8+ T lymphocytes was also studied in both groups of patients. In patients who progressed to AIDS, CD28 MoAb costimulation was found to be decreased. Univariate time-dependent analysis showed that decreases in (i) absolute numbers of either CD4+, CD4+CD28+, CD8+CD28+ T cells, (ii) CD28 MoAb costimulation, and (iii) CD3 MoAb response, and an increase in CD8+CD28- %, are significant predictors for progression to AIDS. In addition, multivariate time-dependent analysis demonstrated that a decrease in CD28 MoAb costimulation (but not a decrease in CD3 MoAb response) was predictive for progression to AIDS, as were decreases in the percentage of CD4+ T cells and the absolute number of CD4+CD28+ T cells. Thus, CD28 MoAb costimulation can be considered a useful assay for monitoring HIV-1 infection. Furthermore, apart from the early increase in the percentage of CD8+CD28- T cells and an increase in the percentage of CD28- on CD8+ T cells in both groups of patients at baseline compared with normal controls, a negative correlation was found to exist between the percentages of CD4+ or CD4+CD28+ T cells and the percentage of CD8+CD28- T cells; this suggests that these cells are probably mutually regulated."
Doc No.9,6315,positive/labeled,21.34857,Increased cytolytic T lymphocyte activity and decreased B7 responsiveness are associated with CD28 down-regulation on CD8+ T cells from HIV-infected subjects.,"The CD28 receptor on CD4+ and CD8+ T cells interacts with B7 molecules on antigen-presenting cells (APC) to generate essential costimulatory signals. The cytolytic potential of CD8+ T cells could be linked to CD28 expression. Since HIV induces dysfunction of both CD4+ and CD8+ T cells, we evaluated CD28 expression and function in both subsets during HIV infection. CD28 expression on CD8+ T cells from HIV+ subjects was strongly reduced in a disease stage-related fashion. CD28- CD8+ T cells preferentially expressed CD57 and CD11b, but lacked CD26 and IL-2R alpha. The CD8+ T cells from the patients showed a significantly reduced proliferative response to co-stimulation with cell-bound anti-CD3 and B7. Nevertheless, when stimulated with plate-fixed anti-CD3, CD8+ T cells from HIV-infected subjects proliferated normally, and normal levels of IL-2R alpha and transferrin-receptor could be induced on CD28- CD8+ T cells from the patients. In addition, stimulation with plate-fixed anti-CD3 induced proliferative responses in highly purified CD28- CD8+ T cells from both HIV- and HIV+ persons. Furthermore, the increased cytotoxic activity of peripheral blood mononuclear cells (PBMC) from HIV+ subjects, measured in an anti-CD3 redirected assay, was predominantly exerted by CD28- CD57+ T cells. CD4+ T cells from the patients showed a slight but significant CD28 down-regulation and were slightly hyporesponsive to B7 co-stimulation. Decrease of CD28 on CD8+ T cells from HIV+ subjects is associated with an impaired response to co-stimulation via B7. CD28- CD8+ T cells from seropositives, however, are not completely inert, since they contain in vivo activated CTL and they can be additionally activated through a B7-independent stimulation."
Doc No.10,5872,positive/labeled,20.99067,Substance use predictors of poor medication adherence: the role of substance use coping among HIV-infected patients in opioid dependence treatment.,"Many HIV-infected injection drug users (IDUs) continue to use illicit substances despite being in substance use treatment. Substance use is associated with non-adherence to HIV medications; however underlying mechanisms regarding this relation are understudied. The current investigation examined the role of substance use coping in terms of the relation between substance use and HIV medication adherence. Participants were 121 HIV-infected IDUs (41 % female, M age = 47, SD = 7.1) in opioid dependence treatment. Participants completed self-report questionnaires, were administered clinical interviews and oral toxicology screens, and used a medication-event-monitoring-system cap to assess 2 week HIV medication adherence. The use of cocaine and multiple substances were significantly related to decreased medication adherence. Substance use coping mediated these associations. Findings highlight the importance of assessing, monitoring, and targeting ongoing substance use, and ways to increase positive coping for HIV-infected IDUs in substance use treatment to aid in HIV medication adherence."
