                      0                1                2                       3                 4                       5                6                7                8                       9
             confidence             many               ci                 medical            cohort                  highly              mrr            faced             rate                   model
                 remain        receiving       translated                   focus       susceptible                  sample            daily           factor             show                   among
       immunodeficiency       alveolitis              ass             transmitted               men                category         genotype      replacement           social               infection
              adherence              use            order                      ci              mass                  washer        infection         reported            brief                 service
              tenofovir          service            index              detectable               men                   virus         compared             cell            maker           cerebrospinal
                english     psychosocial            group                     car             cited                  showed          partner           killer       considered                    risk
                   poor             pool        seventeen                commonly      multivariate                     azt       outpatient          patient        challenge                clinical
                     ci          perhaps            among                   daily           without               adherence      spontaneous          primary      development             spontaneous
              infection      endproducts     psychosocial                   rigid              many                    bone            month         practice         decrease              coinfected
        dermatomyositis         efficacy             mass                    cell              late                  opiate      established        glycation              hiv                  stigma
                    std            noted       eosinophil                  person         tenofovir          antiretroviral         pathogen         abstract        phenotype             reinfection
                measure             drug       individual                disorder              user                proximal      multicenter        determine       decreasing                     hdl
        methamphetamine        adherence    investigation                   serum      longitudinal                 barrier           higher           living         efficacy              alteration
                     ci         survival           effect                  method             daily                 patient         discrete    questionnaire            among                   major
            combination            hdlox           random             measurement         influence                 inverse         practice immunodeficiency       resistance                   human
        bronchoalveolar              rna         evidence                disorder              idus                 patient         presence         suggests            group                presence
                  score        treatment         analysis                 testing               age                    load          barrier        increased          chronic                  showed
           introduction         receptor          patient          rehabilitation               hcv            occupational        hepatitis      furthermore           condom                antibody
               increase   neurocognitive          finding                promotes      particularly                   april           sexual        injecting           person               injecting
               injected         promotes       prostitute                 rapidly        alteration               injection         positive        seventeen      information                 english
               improved       retroviral            count                antibody       combination                   fluid              ass          examine      interaction               treatment
                    gay        indicated              hiv                clinical               age               clearance       evaluation       prostitute         alveolar                  opiate
                  group          quality             good                   fluid           kismayo                 steroid     multivariate          patient           unsafe                  muscle
              conducted        predictor            first             responsible             rural              identified            viral      development       identified                     hcv
       immunodeficiency           unsafe           school                 kismayo             total                    ptfe             also     pathogenesis            viral                   swiss
                    bal         commonly         periodic           epidemiologic          receptor                   group          measure       homosexual              art               expressed
                 cohort        injection        treatment                    area        population             significant          article      distinctive       alveolitis                     hdl
           monoinfected            trial             data               adherence         injection                   death         bisexual              hiv         myopathy                  larger
                   drug       prostitute        influence                   study        evaluation             significant         previous            viral             high                  number
           presentation              azt        dimension                 earlier            plasma                    beta           member           thirst       alveolitis            osteoporosis
               advanced            count            srage                injected             count                positive     quantifiable        adherence             role              eosinophil
            responsible          natural             ivda                     hcv             among            asymptomatic            among            liver           unsafe                     use
                clearer         sexually         reported                 patient         injecting                  little           policy              hiv        ethnicity                measured
             containing        elevation         genotype                      ci         underwent               resistant              bal              hiv              hcv                  survey
       immunodeficiency         majority              rna                analysis             month                analysis              due          control            adult              disoproxil
