Document Order,Normalized Frequency,Raw DF,Abstract
5727,0.055,11.0000,"During recent years significant progress has been made in the treatment of HIV-1, at least in part due to the availability of potent antiretroviral drugs. The goal of the current treatment strategies is to inhibit the viral replication as completely as possible by using a combination of 3 or more antiretroviral drugs. This Highly Active Antiretroviral Therapy (HAART) has radically changed the clinical outcome of HIV, leading to decreased mortality and morbidity, at least in developed countries. Additionally to the advent of new and potent drugs, demonstrations of the prognostic value of the CD4 cell count and the plasma viral load were of major importance in the development of therapeutic strategies. Especially the ability of viral load assays to assess accurately the true level of viral replication, led to a better understanding of the pathogenesis of the disease. HIV proved to be a highly dynamic infection even during the period of clinical latency. The initial enthusiasm that HAART could radically change the outcome of HIV was cooled off in face of the difficulties in real life associated with the complex treatment strategies. Besides long-term side effects and suboptimal drug potency, the emergence of resistant virus and the necessity of perfect therapy adherence are major concerns for obtaining a sustained control of viral replication. In this study we focused on HIV resistance, which remains one of the major threats for a sustained response to antiretroviral therapy. HIV proved to be able to develop resistance to all currently used antiretroviral drugs. The high replication rate of the virus together with the low fidelity of the viral reverse transcriptase, from the basis for the presence of enormous amounts of viral variants. Whenever viral replication is ongoing in the presence of antiretroviral drugs, these variants that escape the inhibitory effects of the drugs will be selected. Although the knowledge in the field of HIV resistance has expanded enormously, many issues need to be answered. Genotypic and phenotypic resistance patterns are evolving continuously, due to changes in the treatment strategies. Moreover the relation between drug resistance and therapy failure needs further investigation, in order to prove the relevance of performing resistance testing in the follow-up of HIV-infected patients. The wide availability of antiretroviral drugs has led to the transmission of resistant HIV. Infection with HIV resistant to one or more antiretroviral drugs has been observed to occur through the different transmission routes. In a first study we assessed the prevalence of genotypic resistance to antiretroviral drugs in Belgian antiretroviral-naïve HIV-infected patients. We observed that HIV strains with resistance-related mutations to one or more classes of antiretroviral drugs are not uncommon in the Belgian naïve patients. Furthermore the inclusion of samples from patients visiting the Belgian hospitals for the first time in 1995, 1997 and 1998, showed that the overall prevalence of baseline genotypic resistance remains rather constant (26-30%). The increasing trend in genotypic baseline resistance to 3TC (2% to 6.3%) and PIs (4.4% to 9.9%) as well as the decrease in ZDV-resistance (13.3% to 5.4%), reflect the change in treatment strategies, and resistance to these drugs is most probably caused by transmission of variants with resistance mutations selected during therapy. The presence of NNRTI-related mutations (around 16%) is likely to reflect the occurrence of baseline polymorphisms, since NNRTI-related mutations can occur without a replication deficit for the virus. Moreover, despite the rather recent introduction of NNRTIs into the clinic from 1997 onwards, no clear trend in NNRTI baseline resistance over time is observed. The best current therapeutic strategy for HIV-infected patients is to start antiretroviral therapy with HAART in order to avoid the accumulation of resistance towards drugs in less suppressive regimens. In a second study, we showed that the start of HAART in antiretroviral-naive HIV-patients in daily clinical practice could prevent viral breakthrough for up to 44 months in 60% of patients (n = 25). Six of 10 patients with virologic failure developed resistance to the drugs included in their treatment regimens. In comparison to patients with a sustained virologic response, patients with virologic failure were in a later disease stage when starting therapy and showed lower PI drug-levels, what can be an indication of poor adherence. Despite a poor virologic response for some of them, a rise in CD4 cell count was observed for all patients during the study period. A large number of HIV-infected patients started treatment in the pre-HAART period. The use of NRTIs is mono- or bitherapy was not able to prevent the development of resistant virus. In a third study we studied the prevalence and characteristics of 2 patterns of multinucleoside resistance (MNR) in European patients (n = 755). In patients without NRTI-exposure or with exposure to only one NRTI, no MNR was observed. MNR was present in low prevalence (each pattern < 2%) in patients pretreated with multiple NRTIs. Despite this low prevalence, MNR should be closely monitored, since it results in broad cross-resistance to NRTIs in vitro and a poor therapy response in vivo. We also assessed the predictive value of baseline resistance on the virologic response to later added drugs. The genotype of patients starting or changing a therapy consisting solely of NRTIs was analyzed at baseline and 6 months later. In patients without genotypic mutations towards the added drug the virologic response was significantly better compared to patients with baseline resistance. At 6 months however, both patient groups showed a rise in viral load due to the accumulation of NRTI-related mutations under the presence of poorly suppressive regimens, although the difference between the two groups remained significant. In this study, and also in studies reported by others, the presence of baseline resistance has a high predictive value for therapy failure, while the absence of resistance is not predictive for therapy response. Suboptimal adherence may be one of the reasons of the poor predictive value of the absence of baseline resistance for a good therapy response. In a last observational study, we investigated the relation between adherence, the presence and development of genotypic resistance and the virologic response in patients during HAART therapy. Adherence to 1 protease inhibitor was monitored using Electronic Event Monitoring. Patients with perfect therapy adherence and in particular without drug holidays, can control viral replication provided that the activity of the drugs included in the combination is not entirely compromised by the presence of baseline resistance mutations. In our patient population, reduced adherence resulted in therapy failure, mostly associated with a subsequent accumulation of resistance mutations. In conclusion, the outcome of the HIV disease has been revolutionarily changed with the advent of HAART. Both resistance and treatment adherence are crucial factors in determining the therapy response. Retrospective studies, such as ours, and a limited number of prospective trials already proved the short-term benefit of therapy switch based on the results of resistance tests in addition to standard of care. To ultimately define the role of tools as resistance testing and adherence monitoring with eventual adherence interventions, more prospective trials are needed as well in treatment-naïve as in experienced patients."
14248,0.045,9.0000,"Although weight loss associated with human immunodeficiency virus (HIV) infection is multifactorial in its pathogenesis, it has been speculated that hypogonadism, a common occurrence in HIV disease, contributes to depletion of lean tissue and muscle dysfunction. We, therefore, examined the effects of testosterone replacement by means of Androderm, a permeation-enhanced, nongenital transdermal system, on lean body mass, body weight, muscle strength, health-related quality of life, and HIV-disease markers. We randomly assigned 41 HIV-infected, ambulatory men, 18-60 yr of age, with serum testosterone levels below 400 ng/dL, to 1 of 2 treatment groups: group I, two placebo patches (n = 21); or group II, two testosterone patches designed to release 5 mg testosterone over 24 h. Eighteen men in the placebo group and 14 men in the testosterone group completed the 12-week treatment. Serum total and free testosterone and dihydrotestosterone levels increased, and LH and FSH levels decreased in the testosterone-treated, but not in the placebo-treated, men. Lean body mass and fat-free mass, measured by dual energy x-ray absorptiometry, increased significantly in men receiving testosterone patches [change in lean body mass, +1.345 +/- 0.533 kg (P = 0.02 compared to no change); change in fat-free mass, +1.364 +/- 0.525 kg (P = 0.02 compared to no change)], but did not change in the placebo group [change in lean body mass, 0.189 +/- 0.470 kg (P = NS compared to no change); change in fat-free mass, 0.186 +/- 0.470 kg (P = NS compared to no change)]. However, there was no significant difference between the 2 treatment groups in the change in lean body mass. The change in lean body mass during treatment was moderately correlated with the increment in serum testosterone levels (r = 0.41; P = 0.02). The testosterone-treated men experienced a greater decrease in fat mass than those receiving placebo patches (P = 0.04). There was no significant change in body weight in either treatment group. Changes in overall quality of life scores did not correlate with testosterone treatment; however, in the subcategory of role limitation due to emotional problems, the men in the testosterone group improved an average of 43 points of a 0-100 possible score, whereas those in the placebo group did not change. Red cell count increased in the testosterone group (change in red cell count, +0.1 +/- 0.1 10(12)/L) but decreased in the placebo group (change in red cell count, -0.2 +/- 0.1 10(12)/L). CD4+ and CD8+ T cell counts and plasma HIV copy number did not significantly change during treatment. Serum prostate-specific antigen and plasma lipid levels did not change in either treatment group. Testosterone replacement in HIV-infected men with low testosterone levels is safe and is associated with a 1.35-kg gain in lean body mass, a significantly greater reduction in fat mass than that achieved with placebo treatment, an increased red cell count, and an improvement in role limitation due to emotional problems. Further studies are needed to assess whether testosterone supplementation can produce clinically meaningful changes in muscle function and disease outcome in HIV-infected men."
10635,0.04,8.0000,"The work on this thesis began in 2003 when the global HIV epidemic was out of control. A minority of persons with HIV were benefitting fully from the recently introduced highly efficacious antiretroviral therapy (ART) combinations. Among the global challenges were lack of access to good healthcare, drug toxicity, and emergence of drug-resistant virus. It was unknown how long the drugs could maintain their efficacy in the individual even if administered as intended, and there was a fear that the increased drug pressure would increase the prevalence of drug resistance, subsequently leading to transmission of resistant virus from one individual to another, and thereby waning the treatment options available. Hence, we were far from the ideal conditions where an HIV-infected individual gets to know immediately that he/she is infected, has access to specialized medical and social support, receives a drug combination which effectively suppresses the virus and has no side effects, and is free of co-morbid conditions both before and after he/she gets infected. The nine papers on which this thesis is based each aimed to provide new knowledge to aspects of the above. Late diagnosis and late presentation to clinical care continue to be major barriers to improved HIV management. We used nation-wide hospital registries to explore the potential for an indicator disease-based HIV testing strategy. A range of conditions that were manifestations of the HIV infection itself were found to be associated with highly increased risk of HIV diagnosis during the coming year, but less so three to five years later. Other conditions were associated with an almost constant five-year long increased risk of being diagnosed with HIV because they share behavioural risk factors with HIV, making them indicators of not only current HIV but also of future HIV acquisition. Hence, indicator condition-based testing should be adapted to the local epidemic and could be a valuable addition to the existing detection practice. Once diagnosed, getting the full benefit of modern HIV care requires access to a good healthcare system. We compared temporal trends in quality and quantity of ART introduction in Den-mark and Greenland. Despite similar levels of health worker education and economic resources, ART implementation and mortality decline in Greenland lacked several years behind Denmark. The study reminded us that although economy may be a prerequisite for implementing an effective HIV care system, it is certainly not all it takes. The nationwide nature of the Danish HIV Cohort Study also allowed us to study a number of time trends at the population level. Despite what was feared, we found that the prevalence of triple-drug class virological failure (TCF) seemed to have stabilized after 2000; that the incidence rates of drug resistance acquisition were decreasing during 1999-2005; and that the prevalence of potential transmitters of drug-resistant HIV decreased during 1997-2004. We also looked at some of the consequences of virological failure and drug resistance and found that even modest levels of viraemia were associated with a high risk of future failure and death, and that in persons who have experienced TCF, the number and pattern of resistance mutations were independent predictors of death. Hence, despite the overall positive trends in virological failure and drug-resistance development at the population level, our findings underline the crucial importance of always having an effective treatment option available for the individual patient with drug-resistant virus. As mortality was declining for persons with access to ART and good HIV care, it became important to know how long persons with HIV could expect to live compared to the general population. We projected long-term survival and found that a 25-year old person with HIV and without hepatitis C virus (HCV) co-infection had a 50 per cent chance of surviving another 39 years, only 12.2 years less than a person in a matched general population cohort would survive. With improved survival and declining HIV-related co-morbidity, non-HIV related co-morbidity became a more visible contributor to the health status of persons with HIV. We assessed the impact of non-HIV related comorbidity acquired before the person became infected with HIV. We found that 32% of the observed mortality in our cohort was due to HCV and co-morbidities measured by the Charlson Comorbidity Index, 13% corresponded to the background mortality in the population, and that only 55% of the mortality could be attributed to HIV. Our findings confirmed that persons acquiring HIV differ at large from the general population, and that we should not expect overall mortality rates in populations with HIV to reach the levels in the general population. This thesis attempted to map some of the many challenges on the road towards increased survival of individuals and populations with HIV up to a level, which today in many settings is close to that of the general population. The studies in this thesis have each paid their modest contribution to show how crucially important it is to be diagnosed in time, to have access to a well-functioning health system, and to keep free of co-morbidity both before and after acquiring HIV. After many years of struggle and despair, and thanks to enormous advances in prevention and treatment, we are now looking towards a promising future. "
17760,0.025,5.0000,"Hepatitis B viral (HBV) infection is a major health burden in the Asia-Pacific region. The seriousness of chronic hepatitis B (CHB) is often realized at a late stage. The resultant morbidity and mortality from cirrhosis complications is considerable, with a high human cost. The most affected patients are men aged 40 years or older. Two decades ago, the prognosis for the 300 million ""Australia antigen""-positive people (people with chronic HBV infection) was gloomy, with no effective intervention. Twenty years on, research and development have changed their outlook. Chronic hepatitis should now be diagnosed early, at the asymptomatic stage. Proper assessment and judicial introduction of therapy can suppress replication of HBV and resolve liver inflammation, thereby preventing the silent progression of chronic liver disease to end-stage cirrhosis. Interferon (IFN) monotherapy has been available for nearly 20 years, but various limitations restrict its general application. Injection-based therapies are inconvenient, the response rate is low (33% hepatitis B e antigen (HBeAg) seroconversion rate among optimal cases), side-effects are many, and some serious, and the cost is unaffordable for most people. However, in non-cirrhotic patients with mild to moderate disease activity, IFN is still a worthwhile option because the treatment course is shorter, mutation seems less of a problem and most responses are permanent and reduce or abolish late complications. Lamivudine, an oral nucleoside analog with potent antiviral effects, has been approved in many countries. Daily dosing of 100 mg reduces serum HBV-DNA to below detectable levels within 6 weeks. In HBeAg-positive patients, approximately 16% of treated patients seroconverted with the first year. This was associated with significant improvement in liver histology. Long-term treatment induces further HBeAg seroconversion, but overall clinical benefit is undermined by continuous emergence of drug-resistant YMDD mutants. In an Asian multicentre study, 58 patients on 5 years lamivudine therapy showed annual cumulative HBeAg seroconversion rates at 1, 2, 3, 4 and 5 years of 22, 29, 40, 47 and 50%, respectively. The best predictor of response is pretreatment alanine aminotransferase (ALT). Among patients with ALT > 2x the upper limit of normal (ULN), annual HBeAg seroconversion is increased to 38, 42, 65, 73 and 77%, respectively. However, emergence of YMDD mutants occurred at a cumulative rate of 15, 38, 55, 67 and 69%, respectively. The impact of this emergence on disease activity is unpredictable. Thus, while continued disease suppression, or even HBeAg seroconversion, still occurred in some patients, in others hepatitis may relapse and liver failure has been reported despite continuation of lamivudine. While the duration of lamivudine therapy is difficult to define, the best strategy may be to define only active CHB with major ALT elevation (par-ticularly ALT > 5x ULN) for a duration of 1 year or less. Lamivudine can be stopped in responders. The response is durable in approximately 80% of responders. Non-responders should be monitored closely for rebound off treatment. Therapy can be re-instituted if ALT is over 5x ULN. Management of patients with YMDD mutants can be challenging, but there is no clear evidence to recommend stopping or continuing lamivudine, or to add other possible effective agents, such as adefovir dipivoxil. More data are required to help draw up guidelines. Hepatitis B e antigen-negative CHB has been less well studied. Both IFN and lamivudine can suppress disease activity, but permanent responses are few. Without a distinct marker as an end-point for response, the duration of treatment is even more difficult to define. Quantitative polymerase chain reaction for low viral levels may give a clue, but definitive studies are required. Monotherapy is clearly not the answer for the majority of CHB patients with active disease. Combination therapy has the theoretical advantage of additional or synergistic efficacy. Preliminary results on IFN and lamivudine are promising and further clinical trials are ongoing. Emtricitabine (FTC), adefovir dipivoxil, entecavir, BL-thymidine (L-dT), DAPD, clevudine (l-FMAU), thymosin, therapeutic vaccines and various herbal medicines are potential candidates. Antiviral action in conjunction with immune modulation may have a better chance of eradicating HBV and its cccDNA in the hepatocytes as the basis for an eventual successful outcome. The key points are: (i) approved therapeutic agents for chronic hepatitis B (CHB) are IFN, lamivudine and thymosin (in a few countries only); (ii) indications for IFN therapy are viremia in compensated CHB patients with moderately raised ALT; (iii) lamivudine has broader therapeutic indications: it is effective in subgroups of CHB patients with compensated or decompensated liver diseases, but generally works better if patients have raised ALT; (iv) lamivudine has a potent suppressive action on HBV replication, including HBeAg-negative variants, but cannot eliminate cccDNA; this is the reason for the relapse of disease after discontinuing treatment, unless HBeAg seroconversion is obtained; (v) successful use of lamivudine aims at HBeAg seroconversion or profound suppression of HBV-DNA to serum levels of less than 100 000 viral copies/mL, in order to prevent emergence of drug-resistant YMDD mutants (which commences from 6 months onward); (vi) YMDD mutants may cause a flare of hepatitis, resulting in deterioration of liver histology and, occasionally, liver failure; (vii) combination therapy of lamivudine with IFN (standard or pegylated) or other nucleoside analogs should be the next advance. Preliminary data from IFN and lamivudine combination therapy show some promise, but there are conflicting results."
17043,0.02,4.0000,"We examined the impact of antiretroviral treatment adherence among hepatitis C (HCV) coinfected human immunodeficiency virus (HIV) patients on survival and clinical outcomes. We analyzed Medicaid claims data from 14 southern states from 2005 to 2007, comparing survival and clinical outcomes and cost of treatment for HIV and HCV coinfected patients (N = 4115) at different levels of adherence to antiretroviral therapy (ART). More than one in five patients (20.5%) showed less than 50% adherence to antiretroviral treatment, but there were no racial/ethnic or gender disparities. Significant survival benefit was demonstrated at each incremental level of adherence to ART (one-year mortality ranging from 3.5% in the highest adherence group to 26.0% in the lowest). Low-adherence patients also had higher rates of hospitalization and emergency department visits. Relative to patients with high (>95%) ART adherence, those with less than 25% treatment adherence had fourfold greater risk of death (adjusted odds ratio 4.22 [95% CI: 3.03, 5.87]). Nondrug Medicaid expenditures were lower for high-adherence patients, but cost of medications drove total Medicaid expenditures higher for high-adherence patients. Cost per quality-adjusted life year (QALY) saved (relative to the <25% low-adherence group) ranged from $21,874 for increasing adherence to 25-50% to $37,229 for increasing adherence to 75-95%. Adherence to ART for patients with HIV and HCV coinfection is associated with lower adverse clinical outcomes at a Medicaid cost per QALY commensurate with other well-accepted treatment and prevention strategies. Further research is needed to identify interventions which can best achieve optimal ART adherence at a population scale."
6488,0.02,4.0000,"In Japan, the human immunodeficiency virus (HIV) and hepatitis C virus (HCV) coinfection of some patients with hemophilia was caused by the transfusion of imported blood products, such as unheated coagulation factor. With the development of antiretroviral therapy (ART) for HIV, chronic HCV infection has become a major cause of liver disease and mortality for hemophiliac patients coinfected with HCV/HIV. Data is limited regarding the efficacy and safety of antiviral therapy with the HCV protease inhibitor telaprevir (TVR) in combination with pegylated interferon-α (PegIFN-α) and ribavirin (RBV) for hemophilia patients coinfected with HCV/HIV. We report a case of a Japanese patient with hemophilia and HCV/HIV coinfection who had partial response to prior to PegIFN-α and RBV therapy. This is the first published report of 24-week TVR-based triple therapy for a hemophilia patient coinfected with HCV/HIV. The patient had HCV genotype 1a infection with a high viral load. His single-nucleotide polymorphism of the interleukin 28B (rs8099917) gene was the TT major allele. He presented with undetectable HIV RNA and a high CD4(+) T cell counts by taking ART including tenofovir, emtricitabine and raltegravir. He was again treated for HCV with TVR plus PegIFN-α2b and RBV for the first 12 weeks, followed by the continuation of PegIFN-α2b and RBV for 12 additional weeks while continuing ART. He had rapid virological response and achieved sustained virological response with the 24-week treatment. No serious adverse events such as skin rash, severe anemia or exacerbated bleeding tendency were observed, only a mild headache. No dose adjustment was necessary when tenofovir and raltegravir were used in combined with TVR, and no HIV breakthrough was observed. TVR-based triple therapy with ART could can an effective treatment for hemophilia patients coinfected with HCV (genotype 1)/HIV regardless of prior response. TVR can be used in combination with tenofovir, emtricitabine and raltegravir for patients with hemophilia. Furthermore, patients with undetectable HCV RNA at week 4 could be successfully treated with a 24-week regimen. "
640,0.02,4.0000,"Although China's government is rapidly expanding access to antiretroviral therapy, little is known about barriers to adherence among Chinese HIV-infected patients, particularly among injection drug users. To better understand barriers to antiretroviral treatment adherence, we conducted a qualitative research study, using both focus group and key informant methods, among 36 HIV-positive men and women in Dali, in southwestern China. All interviews utilized semi-structured question guides and were conducted in Mandarin, audio-recorded and translated into English for analysis. The most commonly cited adherence challenges were stigma, including secondary stigma experienced by family members; mental health issues; and economic concerns, particularly related to finding and maintaining employment. Distinctive gender differences emerged, partly due to previous heroin use among male respondents. Optimizing adherence may require that antiretroviral therapy programs be linked to other services, including drug addiction treatment, mental health services and vocational treatment and support. HIV care and service providers and policy makers in China responsible for HIV treatment should be aware of these important barriers to adherence."
7112,0.02,4.0000,"Although a considerable number of studies have been undertaken to date, it is still controversial as to whether or not coinfection with schistosomiasis increases the susceptibility to or progression from Hepatitis B virus (HBV) or Hepatitis C virus (HCV) infection. This review is a closer examination of the key studies conducted on human populations on clinical factors that were published in English between 1975 and January 2015. Our review is mainly based on tables containing the salient information, which are arranged first by study population, country of study and publication date. We provide further explanation, clarification and discussion in the text. As such, it includes both studies that have been conducted on general populations who are largely asymptomatic for clinical disease (Table 3), as well as those focussing on special populations, which are usually comprised of clinical patients. These special populations have been presented as follows: subjects with chronic liver disease or related conditions such as cirrhosis, Table 4; subjects with primary liver cancer, Table 5; subjects with schistosomiasis, Table 6; subjects with acute or chronic hepatitis resulting from HBV, Table 7 and, subjects with HCV, Table 8. We have presented studies that compared two mono-infected groups with one that is coinfected separately in Table 9, as these offer us the best basis from which to evaluate if any synergistic effects accompany coinfection. A number of factors contributed to the results reported in our tables. These included, but are not limited to: subject selection (i.e. asymptomatic cases typically drawn from the general population vs subjects presenting to a hospital or clinic with clinical disease); study design, which directly impacts our ability to infer causality (i.e. case series, cross-sectional, case-control, cohort study); use and choice of control population (i.e. apparently healthy subjects vs other hospital patients vs none); sample size, which directly impacts statistical power and can result in a Type II error; geographic area, which may reflect differences in population genetics, public health history, environmental differences or any number of other important factors (i.e. Egypt, Brazil, China); method of testing for schistosomal infections (i.e. stool vs antibody test); method of testing to determine if advanced schistosomal disease was present (i.e. ultrasound, liver biopsy vs none); method of serological testing for HBV (i.e. use of HBsAg alone or with other markers or DNA testing); method of serological testing for HCV (i.e. use of anti-HCV alone or with RNA testing) and, year of the study, which reflects among other things, technological improvements between tests as well as possible changes in the frequency of exposure in the populations under study (i.e. use of parenteral antischistosomal therapy vs the oral antischistosomal medication). Despite all these differences, throughout this review we have observed general patterns that seem largely consistent with one another. Studies conducted on general, largely asymptomatic populations tend to support the view that having one of the diseases in question (i.e. schistosomiasis) does not necessarily predispose one to becoming coinfected with another (i.e. HBV or HCV). Rather, the probability of becoming coinfected seems most closely associated with modes of transmission for either HBV or HCV in schistosome-endemic areas, such as the past use of parenteral antischistosomal therapy or frequent blood transfusion. Once coinfected, however, the clinical course of illness for those with Schistosoma-HBV or Schistosoma-HCV infections are typically much more severe than for mono-infected subjects. The strongest evidence for this was found in the half-dozen or so prospective cohort studies that systematically monitored disease progression in their subjects. With respect to HBV infection, coinfection with Schistosoma prolonged the carriage state and more often resulted in chronic hepatitis with greater cirrhosis as well as higher mortality. Much of the same was also observed with respect to HCV, where coinfection with Schistosoma was associated with a reduced ability to spontaneously resolve the viral infection and more often resulted in rapid fibrosis as well as higher mortality. Furthermore, two of these studies which were fully comparative in nature, support the supposition that there is a synergistic association between Schistosoma-HCV for both liver fibrosis and mortality. Immunological studies, all conducted on HCV, also generally seem to support this. The results of our research argue for greater primary prevention for both HBV and HCV in Schistosoma-endemic populations. Although no vaccine currently exists for HCV as it does for HBV, additional steps can still be taken to reduce transmission in high-risk populations. Greater use of the HBV vaccine is particularly advisable. Finally, additional observational, longitudinal studies conducted on human populations that are fully comparative in nature could help answer some of the remaining questions on both Schistosoma-HBV as well as Schistosoma-HCV coinfections. Some of these include the role of active versus past schistosomal infections, the role of genetic variants, as well as the effect of coinfection on treatment. Future studies should make a particular effort to use a sufficient sample size to ensure adequate statistical power, which was not often properly considered in many of the studies we reviewed for this paper. "
12383,0.02,4.0000,"Weight loss is reported by more than 20% of hepatitis C virus (HCV)-monoinfected patients treated with the peg-interferon (peg-IFN) and ribavirin combination. The aim of this study was to determine the incidence and risk factors of severe weight loss (> or =10%) in human immunodeficiency virus (HIV) / HCV-coinfected patients participating in a randomized, controlled 48-week trial comparing peg-IFN alpha 2b plus ribavirin with IFN alpha-2b plus ribavirin. Univariate and multivariate analyses were used to identify links with antiretroviral treatments, anti-HCV therapy and clinical and laboratory findings. One hundred eleven (28.9%) of 383 patients who received at least one dose of anti-HCV treatment subsequently had severe weight loss. Among patients who took at least 80% of the planned total dose, severe weight loss occurred in 74 patients (32.7%). In multivariate analysis, age >40 years [hazard ratio (HR), 1.59; 95% CI 1.09 to 2.31; P = 0.016], body mass index (BMI) >22 (HR, 1.72; 95% CI, 1.16 to 2.55; P = 0.0069), peg-IFN alpha-2b (HR, 1.82; 95% CI, 1.24 to 2.69; P = 0.0022) and female sex (HR, 1.60; 95% CI, 1.05 to 2.43; P = 0.027) were associated with severe weight loss. In contrast, patients taking non-nucleoside reverse transcriptase inhibitors (NNRTI)-containing antiretroviral regimens were less likely to lose weight (HR, 0.62; 95% CI, 0.39 to 0.96; P = 0.034). Lipodystrophy tended to occur more frequently in patients who had severe weight loss than in the other patients (26.1%vs 17.6%; P = 0.0682) and patients whose weight loss >5% persisted 24 weeks after the completion of anti-HCV therapy (n = 58 / 111) were more likely to be receiving stavudine-based antiretroviral therapy, suggesting that mitochondrial toxicity plays some role in weight loss. These findings show that severe weight loss is a frequent side effect of anti-HCV therapy in HIV / HCV-coinfected patients. The underlying mechanisms remain to be identified."
2148,0.02,4.0000,"In this multicenter study, we investigated the prognostic factors that influence the risk of death in patients with human immunodeficiency virus (HIV) infection. Clinical and laboratory indices obtained from 161 HIV-seropositive patients who underwent a detailed morphologic and immunophenotypic evaluation of bronchoalveolar lavage (BAL) and peripheral blood cell populations were retrospectively analyzed. In 155 patients, death occurred within the 48-mo follow-up (mean follow-up: 14.8 mo; range: 1 to 48 mo). In the univariate analysis, the patient's age (> 30 yr), HIV disease status, HIV transmission category, number of opportunistic pathogens isolated from the BAL, percentage of BAL neutrophils, and low number of BAL CD4 T cells were predictive of increased mortality. In contrast, the presence of an alveolitis or an increase in the numbers of alveolar macrophages and CD3 T cells was associated with a decreased mortality. In the multivariate analysis, significant independent predictors were age, risk factor for HIV, and presence of an alveolitis. Furthermore, patients with a low number of BAL CD4 T cells had a particularly poor prognosis while the CD4 T-cell count in the peripheral blood (< 50 cells/mm3 in the majority of our patients) had a negligible effect on predicting survival. Our findings suggest the clinical utility of BAL analysis in patients infected with HIV."
