Document Order,ranking,bm25_score
1,3484,98.93774559025762
41,2490,155.81864456508072
50,1043,189.7663665068589
76,700,198.9771137484516
85,391,211.776953302158
86,2006,167.62329073141643
87,1124,187.91428884821443
90,2965,142.1894491494275
114,2874,145.1450258001568
140,1763,173.12827844535138
142,1169,186.82714826720556
169,634,201.22270668614905
180,3414,110.57112838780655
197,2520,154.93792911527973
204,3127,133.8916599915874
240,886,193.38598063460077
245,1367,182.07184619984167
270,2018,167.29926758076013
285,1155,187.10789381691853
288,106,232.81642004432447
301,1039,189.89046675960648
303,2185,163.58181307616863
309,2089,165.6215804903618
325,1677,175.10965081187834
343,549,204.06794198287884
345,703,198.8559058666539
351,288,217.69556793741023
352,3068,137.05699203512742
376,1659,175.37911583290986
380,406,210.94718418493417
391,590,202.8678907882748
406,627,201.44756546371963
417,2968,142.1219267423017
430,1197,185.98378444001557
471,2055,166.36272266111894
483,3520,90.08346593043926
485,2295,160.70945745065393
547,1943,169.2412471943963
579,1413,180.8526288779813
585,2080,165.8421701256026
596,2391,158.22746841781654
627,183,225.13364588041696
635,2404,157.91783875099156
656,1679,175.076535650021
661,1189,186.24524257603508
666,76,237.54388118479957
668,919,192.50319497511464
694,3086,136.3450825903923
700,2406,157.80569560202915
701,3316,120.54548323707968
715,723,198.1159615165402
733,2955,142.39674698375836
750,2599,153.0407542068982
763,944,191.818255295732
769,2651,151.86233150808732
779,3406,111.92752278357716
782,568,203.61821721762692
787,879,193.5918858801484
798,1742,173.5576064702299
800,2427,157.23559023325373
834,3283,122.93123843212145
835,353,213.61703457025948
876,972,191.27441264141405
879,1803,172.3536382077271
914,3044,138.57747090193126
919,83,236.07480082418013
921,3419,110.22222020841262
925,469,207.56874941583047
940,3524,89.35197692830289
952,1150,187.23496303175384
964,1176,186.6044792133268
972,3178,130.64407558482955
973,1082,188.82471762808547
974,1942,169.2515317253654
1018,883,193.522644406914
1029,3460,103.92227742312826
1030,1434,180.5054710530352
1048,451,208.75158066107272
