Identifier,N_kw = 5,N_kw = 10,N_kw = 15
1,#N/A,#N/A,#N/A
4,#N/A,#N/A,#N/A
10,#N/A,1890,#N/A
11,4059,#N/A,#N/A
26,3658,2983,#N/A
31,1583,1141,490
41,#N/A,#N/A,#N/A
47,#N/A,#N/A,#N/A
50,4733,2220,548
60,#N/A,2640,#N/A
76,1976,1048,1041
81,#N/A,#N/A,#N/A
84,3555,#N/A,#N/A
85,1861,#N/A,1026
86,928,1275,843
87,2969,956,305
88,1678,1256,#N/A
90,4331,2891,#N/A
100,#N/A,#N/A,#N/A
107,#N/A,#N/A,#N/A
111,#N/A,#N/A,#N/A
114,#N/A,3011,1030
115,#N/A,#N/A,#N/A
123,#N/A,746,#N/A
124,#N/A,#N/A,#N/A
130,2997,#N/A,#N/A
140,#N/A,1177,596
142,#N/A,1705,479
169,3772,342,326
177,1639,3282,#N/A
180,#N/A,#N/A,#N/A
183,#N/A,#N/A,#N/A
185,#N/A,#N/A,#N/A
187,682,#N/A,#N/A
193,1084,#N/A,#N/A
197,2090,#N/A,1483
201,2977,#N/A,#N/A
204,348,3071,#N/A
212,3036,#N/A,#N/A
217,#N/A,2977,#N/A
240,2177,349,889
245,#N/A,#N/A,1282
252,#N/A,#N/A,#N/A
253,1218,#N/A,#N/A
263,2084,#N/A,#N/A
270,#N/A,#N/A,#N/A
278,3770,#N/A,#N/A
285,714,341,1028
286,658,#N/A,#N/A
288,1744,259,#N/A
294,#N/A,#N/A,#N/A
297,4731,1564,#N/A
300,#N/A,#N/A,#N/A
301,4478,3498,765
302,4579,#N/A,#N/A
303,650,#N/A,1330
309,4599,#N/A,#N/A
313,3391,#N/A,#N/A
315,#N/A,#N/A,#N/A
325,1773,31,301
328,1715,#N/A,#N/A
333,3561,#N/A,#N/A
342,2472,2834,#N/A
343,3542,453,193
345,236,2623,1332
350,#N/A,#N/A,#N/A
351,1596,1803,272
352,3155,3385,#N/A
356,3868,#N/A,#N/A
358,#N/A,#N/A,#N/A
368,#N/A,#N/A,#N/A
371,#N/A,#N/A,#N/A
373,#N/A,#N/A,#N/A
376,4798,1034,#N/A
380,759,1796,#N/A
382,#N/A,#N/A,#N/A
391,698,2796,#N/A
403,#N/A,#N/A,#N/A
406,1102,2232,839
416,1368,#N/A,#N/A
417,#N/A,#N/A,#N/A
419,#N/A,#N/A,#N/A
426,2182,#N/A,#N/A
430,675,1718,#N/A
433,3687,2589,#N/A
440,3902,2234,#N/A
441,#N/A,#N/A,#N/A
468,#N/A,1110,#N/A
471,1033,#N/A,533
483,2383,#N/A,#N/A
485,1913,#N/A,#N/A
487,830,#N/A,#N/A
493,#N/A,#N/A,#N/A
494,#N/A,#N/A,#N/A
501,#N/A,2301,#N/A
508,#N/A,#N/A,#N/A
513,#N/A,#N/A,#N/A
521,#N/A,#N/A,#N/A
547,#N/A,1946,#N/A
569,#N/A,#N/A,#N/A
579,#N/A,#N/A,#N/A
585,2811,#N/A,#N/A
593,1557,#N/A,767
596,109,542,1397
601,#N/A,#N/A,#N/A
604,#N/A,#N/A,#N/A
606,#N/A,3456,#N/A
615,242,#N/A,#N/A
627,4485,685,670
635,814,#N/A,#N/A
643,#N/A,#N/A,#N/A
652,#N/A,#N/A,#N/A
655,3321,2865,#N/A
656,#N/A,301,106
661,4423,258,391
662,#N/A,#N/A,#N/A
665,#N/A,#N/A,#N/A
666,3388,910,#N/A
668,#N/A,2226,#N/A
674,2867,#N/A,#N/A
686,#N/A,#N/A,1025
694,315,#N/A,#N/A
700,3504,2790,#N/A
701,103,1411,#N/A
705,3646,524,#N/A
708,#N/A,#N/A,#N/A
711,#N/A,#N/A,#N/A
714,1398,1886,#N/A
715,#N/A,#N/A,#N/A
730,1905,470,1402
733,1515,#N/A,983
739,#N/A,#N/A,#N/A
743,#N/A,#N/A,#N/A
746,2365,2624,#N/A
750,1157,1563,#N/A
755,#N/A,#N/A,#N/A
762,#N/A,572,#N/A
763,3174,91,#N/A
769,#N/A,3460,#N/A
776,1824,#N/A,#N/A
778,1692,#N/A,#N/A
779,#N/A,#N/A,#N/A
782,816,487,1033
787,570,2510,1512
790,3480,#N/A,#N/A
796,#N/A,#N/A,#N/A
797,#N/A,3285,#N/A
798,#N/A,#N/A,#N/A
799,4675,#N/A,#N/A
800,1250,#N/A,#N/A
807,#N/A,#N/A,#N/A
817,#N/A,#N/A,#N/A
834,#N/A,2602,#N/A
835,1697,1680,1267
838,#N/A,#N/A,1527
839,#N/A,#N/A,#N/A
845,2267,#N/A,#N/A
848,#N/A,#N/A,#N/A
851,#N/A,#N/A,#N/A
861,#N/A,#N/A,#N/A
874,#N/A,1697,1324
876,2992,1165,#N/A
879,205,#N/A,#N/A
891,4750,#N/A,#N/A
903,#N/A,#N/A,#N/A
914,4676,#N/A,#N/A
919,3550,2368,#N/A
921,128,#N/A,#N/A
925,1202,2222,#N/A
931,#N/A,#N/A,#N/A
940,#N/A,#N/A,#N/A
950,#N/A,#N/A,#N/A
952,57,1866,#N/A
964,336,3404,1182
968,#N/A,#N/A,#N/A
972,3912,2719,#N/A
973,#N/A,#N/A,448
974,2235,428,1294
981,#N/A,#N/A,#N/A
997,#N/A,2917,#N/A
1012,1502,#N/A,#N/A
1018,#N/A,2413,#N/A
1024,#N/A,#N/A,#N/A
1027,#N/A,#N/A,#N/A
1029,3524,#N/A,#N/A
1030,2810,#N/A,#N/A
1039,#N/A,#N/A,#N/A
1041,#N/A,#N/A,#N/A
1043,981,#N/A,#N/A
1045,#N/A,2696,#N/A
1048,1424,#N/A,#N/A
1054,#N/A,#N/A,#N/A
1063,#N/A,#N/A,#N/A
1076,#N/A,#N/A,#N/A
1082,164,#N/A,#N/A
1088,3061,#N/A,#N/A
1103,3153,3234,#N/A
1105,3430,170,#N/A
1106,#N/A,#N/A,#N/A
1108,#N/A,#N/A,#N/A
1111,1927,#N/A,1138
1112,4109,#N/A,#N/A
1117,#N/A,#N/A,#N/A
1120,#N/A,1599,#N/A
1121,#N/A,#N/A,#N/A
1127,863,2251,727
1131,#N/A,#N/A,#N/A
1137,2890,#N/A,#N/A
1139,#N/A,#N/A,#N/A
1140,622,1226,501
1149,#N/A,#N/A,#N/A
1151,3634,#N/A,#N/A
1159,1327,87,#N/A
1160,1276,2649,#N/A
1165,131,633,866
1167,736,1501,#N/A
1168,#N/A,#N/A,1165
1179,2338,#N/A,#N/A
1184,1914,#N/A,#N/A
1185,463,1861,924
1186,#N/A,2418,#N/A
1190,2451,160,101
1194,1833,#N/A,#N/A
1195,#N/A,#N/A,#N/A
1198,#N/A,#N/A,#N/A
1203,#N/A,#N/A,#N/A
1210,#N/A,#N/A,#N/A
1219,957,325,#N/A
1231,2537,#N/A,1279
1233,#N/A,#N/A,#N/A
1241,#N/A,#N/A,#N/A
1242,#N/A,#N/A,#N/A
1245,2813,#N/A,#N/A
1246,1216,#N/A,#N/A
1248,3453,#N/A,#N/A
1254,#N/A,#N/A,#N/A
1256,#N/A,#N/A,#N/A
1261,2392,#N/A,1135
1270,2411,#N/A,#N/A
1273,#N/A,#N/A,1120
1276,1761,#N/A,#N/A
1280,#N/A,#N/A,#N/A
1287,2590,#N/A,#N/A
1288,2223,#N/A,#N/A
1290,4306,2040,#N/A
1295,#N/A,998,#N/A
1298,#N/A,#N/A,#N/A
1312,471,2043,#N/A
1314,4623,862,293
1320,#N/A,3486,#N/A
1327,#N/A,#N/A,460
1331,#N/A,#N/A,#N/A
1333,#N/A,#N/A,#N/A
1337,3242,#N/A,#N/A
1343,#N/A,#N/A,#N/A
1351,#N/A,#N/A,#N/A
1358,#N/A,#N/A,#N/A
1362,4535,1817,#N/A
1368,4256,1642,#N/A
1382,4053,#N/A,#N/A
1389,#N/A,#N/A,#N/A
1393,#N/A,#N/A,#N/A
1397,#N/A,#N/A,#N/A
1416,#N/A,#N/A,#N/A
1435,#N/A,#N/A,#N/A
1442,#N/A,#N/A,#N/A
1457,351,#N/A,#N/A
1462,3250,#N/A,#N/A
1464,#N/A,#N/A,#N/A
1466,3249,#N/A,#N/A
1477,2071,#N/A,#N/A
1481,#N/A,#N/A,#N/A
1488,#N/A,#N/A,#N/A
1492,3921,#N/A,#N/A
1494,#N/A,#N/A,#N/A
1495,80,2366,1457
1500,1737,250,784
1502,707,3200,#N/A
1504,#N/A,#N/A,#N/A
1506,#N/A,1117,564
1509,1034,2237,186
1510,1855,1391,636
1512,#N/A,#N/A,#N/A
1513,#N/A,#N/A,#N/A
1526,3881,#N/A,#N/A
1534,1345,#N/A,#N/A
1537,#N/A,#N/A,#N/A
1548,4540,1204,1414
1553,418,837,#N/A
1555,4719,2042,313
1565,#N/A,#N/A,#N/A
1572,#N/A,#N/A,#N/A
1577,1110,2024,#N/A
1595,3982,#N/A,#N/A
1613,2710,#N/A,#N/A
1614,#N/A,#N/A,#N/A
1618,880,703,#N/A
1621,#N/A,#N/A,#N/A
1623,#N/A,#N/A,#N/A
1624,#N/A,#N/A,#N/A
1627,#N/A,#N/A,#N/A
1631,1136,2978,#N/A
1634,2790,#N/A,634
1636,#N/A,#N/A,681
1638,669,#N/A,#N/A
1645,908,#N/A,#N/A
1662,#N/A,3114,#N/A
1665,352,#N/A,#N/A
1681,#N/A,#N/A,#N/A
1683,#N/A,#N/A,#N/A
1688,1918,#N/A,290
1695,797,#N/A,#N/A
1698,#N/A,#N/A,#N/A
1705,#N/A,#N/A,#N/A
1709,#N/A,#N/A,#N/A
1718,46,601,#N/A
1724,2603,3307,829
1727,#N/A,3194,#N/A
1728,#N/A,#N/A,#N/A
1738,#N/A,#N/A,1199
1752,2671,#N/A,#N/A
1758,4538,2376,#N/A
1764,#N/A,#N/A,#N/A
1783,#N/A,#N/A,#N/A
1785,#N/A,#N/A,#N/A
1796,23,147,#N/A
1801,3060,2943,#N/A
1802,#N/A,#N/A,#N/A
1804,#N/A,#N/A,#N/A
1810,2842,#N/A,#N/A
1830,#N/A,3347,#N/A
1832,744,#N/A,324
1833,#N/A,#N/A,#N/A
1840,547,1045,#N/A
1844,#N/A,#N/A,#N/A
1848,#N/A,#N/A,#N/A
1854,#N/A,2595,#N/A
1858,4526,#N/A,#N/A
1861,3523,#N/A,1485
1866,#N/A,#N/A,#N/A
1872,896,2432,1380
1873,#N/A,#N/A,#N/A
1875,#N/A,#N/A,#N/A
1877,#N/A,#N/A,#N/A
1879,#N/A,#N/A,#N/A
1884,#N/A,#N/A,1317
1894,4312,550,#N/A
1910,135,2476,1066
1929,1445,#N/A,#N/A
1932,#N/A,#N/A,#N/A
1933,702,2729,#N/A
1936,4718,1196,#N/A
1937,2511,890,949
1948,799,1430,#N/A
1951,4657,2027,#N/A
1954,3775,#N/A,#N/A
1957,#N/A,1372,#N/A
1959,#N/A,#N/A,#N/A
1970,3767,#N/A,#N/A
1971,2783,#N/A,#N/A
1972,#N/A,#N/A,#N/A
1973,4288,#N/A,#N/A
1974,#N/A,#N/A,#N/A
1978,3563,#N/A,#N/A
2000,#N/A,#N/A,#N/A
2014,3994,#N/A,#N/A
2015,#N/A,#N/A,#N/A
2021,1603,#N/A,1469
2031,512,1767,609
2034,316,101,29
2045,#N/A,2011,#N/A
2051,#N/A,#N/A,#N/A
2055,#N/A,#N/A,#N/A
2060,#N/A,2132,#N/A
2086,3643,#N/A,#N/A
2091,#N/A,#N/A,#N/A
2095,#N/A,#N/A,#N/A
2101,891,#N/A,#N/A
2102,276,3219,217
2104,33,1849,#N/A
2105,#N/A,#N/A,#N/A
2116,#N/A,3327,#N/A
2138,#N/A,778,996
2165,#N/A,#N/A,#N/A
2167,#N/A,#N/A,#N/A
2169,3679,1841,#N/A
2170,#N/A,3213,1223
2175,2107,#N/A,#N/A
2181,1549,#N/A,#N/A
2187,#N/A,#N/A,#N/A
2191,1280,1856,#N/A
2201,#N/A,504,#N/A
2202,4330,#N/A,#N/A
2204,#N/A,#N/A,#N/A
2211,3835,#N/A,#N/A
2219,4807,#N/A,#N/A
2220,#N/A,826,#N/A
2226,3383,523,657
2230,#N/A,#N/A,#N/A
2231,40,5,#N/A
2236,#N/A,#N/A,#N/A
2237,4100,#N/A,#N/A
2243,#N/A,#N/A,#N/A
2250,#N/A,#N/A,#N/A
2260,2065,#N/A,#N/A
2269,#N/A,#N/A,#N/A
2272,893,885,#N/A
2280,#N/A,#N/A,#N/A
2287,826,410,61
2296,4081,#N/A,#N/A
