Document Order,Normalized Frequency,Raw DF,Abstract
7098,0.035,7.0000,"Only some twenty years has passed since the first discovery of severe immunodeficiency among previously healthy homosexual men through the discovery of the causing virus and till the status today where the knowledge on the HIV virus and the pathogenic mechanisms induced by the virus are extensive, though still incomplete. Furthermore, steadily better treatments have been introduced at a paste that is probably without precedents. These processes have been fuelled by various molecular biological methods. The abilities to quantify viremia and to sequence virus and hence describe the evolution of the virus represent valuable tools for understanding the pathogenic processes. The current thesis describes some of the findings obtained. While it was initially thought that the virological profile mimicked the clinical with an acute infection followed for years by clinical latency and only after on average ten years signs of severe immunodeficiency, this understanding has been revised. There is no virological latency. The viral replication is on going throughout the infection. However, the virological profile does resemble the clinical. Viremia is high shortly after infection; hereafter declines, and stabilises around what has been termed the viral set point. This level of viremia is predictive of the clinical course of the infection. We have shown that the viremic levels, measured both as HIV RNA load and proviral DNA load, early in infection carry significant information about the course of the infection. It is; however, not only early viral loads that carry prognostic information, also viral load during late-stage infection is clinically informative. Viral load measurements have evolved as the major tool for monitoring the efficacy of antiretroviral therapy. HIV RNA has been shown to be a good surrogate marker for the clinical efficacy of antiretroviral treatment. How to use the measurements most optimally has however not been fully delineated. Various methods for describing virological response might yield different results, and it is recommended that the pros and cons of the various methods be investigated. In a cohort of patients who had obtained good virological suppression on antiretroviral therapy followed prospectively for two years we found that only few patients experienced high-grade viremia. Furthermore, baseline HIV DNA differed between the patients with various longitudinal HIV RNA profiles. The patients with the most pronounced HIV RNA suppression had lowest proviral load at baseline, with a clear gradient across the groups. The interplay between proviral load and treatment response deserves further investigations. Resistance can develop against all the available antiretrovirals. The high turnover rate of HIV along with the error-prone reverse transcriptase leads to the possibility of steady accumulation of resistance mutations if the viremic suppression is incomplete. While the interplay between viremia and resistance development is clear-cut for some antiretrovirals i.e. Lamivudine, the pattern is more complex for i.e. Zidovudine. With the availability of assays for resistances testing the knowledge on this issue has been ever evolving. How to use resistance testing in the clinical monitoring of patients remains to be clarified. Resistance testing can aid in the process of choosing salvage therapy for patients experiencing virological failure. Whether resistance testing will be of clinical benefit in other situations remains to be determined. Investigation of the viral sequences and evolution herein has not only been used for resistance analyses, but also for tracing the spread of the infection. HIV-1 exists in many subtypes, with various geographic distributions. Hence subtype analyses have been used to investigate the introduction and spread of the HIV infection into many countries. Phylogenetic analyses have also been used to investigate nosocomial transmission events. We used analyses of env and gag sequences to trace a case of nosocomial infection at the Department of Infectious Diseases, Rigshospitalet, Denmark. The study underlines the importance of steady awareness of the infection control precautions and possible breaks herein. The usefulness of this type of analyses was confirmed. In the early years of the AIDS epidemic various replicative patterns were described. Virus obtained from patients with late-stage infection often had virus that could induce syncytium formation (SI) when cultured, while virus obtained from patients in the early stages of infection did not have this ability. A correlation between the SI ability and the ability to yield high virus titres rapidly as well as the ability to establish infection in certain cell lines was found. Patients infected with SI virus experience more rapid clinical deterioration. We found that patients harbouring SI virus have HIV RNA loads no different from patients harbouring NSI virus. This is in line with the findings of other groups. Though patients harbouring SI virus had a more rapid development of resistance when treated with nucleoside reserve transcriptase inhibitor (NRTI's) monotherapy, this was not the case when treated with highly active antiretroviral therapy (HAART). HAART is today considered the treatment modality of choice; both for established HIV-infection and in cases where post exposure prophylaxis (PEP) is given in order to prevent establishment of infection after exposure. In a case of transfusion of HIV-contaminated though HIV antibody negative blood the recipient was treated with HAART. As the risk of infection is close to 100% under these circumstances the fact that the recipient remained uninfected is probably attributable to the prompt initiation and thorough maintenance of PEP. PEP is recommended to health care workers after percutaneous HIV exposure as well as after sexual exposure. Even with NRTI monotherapy PEP has been shown to be efficacious. While the explanation for the dichotomy (SI vs. NSI) was for many years unresolved, it is now known that this is due to the requirements of the virus for different co-receptors for cell entry. SI virus uses mainly CXCR4 while NSI virus uses CCR5. Being heterozygous for a 32 basepair deletion in the gene encoding CCR5 leads to slower disease progression. We have shown that heterozygotes have lower HIV RNA levels in the early years of the infection, possibly explaining the clinical advantage of having the deletion. HIV replicates in activated cells, and there is an intriguing interplay between HIV replication and immune activation. HIV-infected patients have elevated levels of immunoglobulins. HIV induces polygonal immunoglobulin production. We found that patients experiencing good virological suppression of HAART had lower IgA levels than patients with less complete viral suppression. Whether IgA can be used as a marker for imminent viral break-through remains to be determined. The full understanding of the interplay between immune activation and HIV replication awaits further studies. The finding of increased viremia in conjunction with acute bacterial or viral infection led to concerns about the safety of vaccinating HIV-infected patients against influenza and pneumococcal infection. We found no difference in HIV RNA levels measured before and median 42 days after anti-pneumococcal vaccination. This is in line with many other studies showing either no or only transient increases in viremia. In conclusion, the knowledge on HIV virology has expanded tremendously. This has led to significant improvements in treatments in the Western World leading to declines in HIV morbidity and mortality. The ability to quantify viral load and to perform sequence analyses represent valuable tools both for understanding the pathogenic actions of the virus and for the clinical monitoring of HIV-infected patients. The optimal usage of these tools in the clinical setting, however, still remains to be defined. The progresses obtained have unfortunately been restricted to the Western World and the calamities of HIV is spreading and worsening in the Developing World. The progress in the development of a vaccine has been disappointing and it is urgently necessary that the progresses obtained within the fields of prevention and treatment are translated into useful strategies in the parts of the world mostly affected by the HIV pandemic."
2223,0.015,3.0000,"Reactivation of hepatitis B virus (HBV) replication in patients receiving rituximab is well described. Current international guidelines recommend HBV screening prior to the commencement of immunosuppressive therapy. However, adherence to such protocols has not previously been studied. We therefore audited screening practices and clinical outcomes in patients prescribed rituximab since its introduction in a large metropolitan health service. All patients receiving rituximab over an 88-month period were identified via pharmacy records. Medical records and laboratory results were reviewed to determine the timing and type of hepatitis screening. HBV flares were identified and correlated with clinical outcomes and any screening or prophylaxis given. Rituximab was given to 355 patients over 88 months (average age, 61 years; 51% male, 48% born overseas); 83% received rituximab for treatment of a hematological malignancy. HBV screening occurred in 31% of patients and, of these, 66% had pre-emptive screening. Five patients given cyclophosphamide, doxorubicin, vincristine, prednisone, and rituximab experienced HBV flares. Four died from viral reactivation. None received antiviral prophylaxis. Hepatitis screening rates in patients receiving rituximab in this study were lower than recommended in clinical guidelines. The identification of five patients with clinically important flares and four deaths in this group highlight the critical need to identify at-risk patients and provide timely prophylactic antiviral therapy to prevent serious morbidity and mortality. Even those with evidence of HBV seroconversion are at risk for fatal flares without active prophylactic antiviral therapy."
7441,0.015,3.0000,"Hepatitis B virus (HBV) infection is a serious global health problem. Approximately 2 billion people worldwide have been infected, and approximately 350 million individuals currently suffer from HBV-induced chronic liver infection, which causes 600,000 deaths annually from chronic hepatitis, cirrhosis and hepatocellular carcinoma. HBV is classified in eight genotypes (A-H), and two more have been proposed (I-J). In this paper, complete genome sequences of nine Uruguayan HBV are reported. Five samples belong to genotype F1b and one to genotype A2. Three HBV recombinants were detected: A1/F1b, A2/F1b and D3/F1b. The following mutations were detected: a G1896A substitution, a 33-nucleotide deletion from position 2896 to 2928 in the Pre-S1 region involving Pre-S1 residues 3-13, a 33-nt deletion in the Pre-S1 region involving nt 2913-2945 and Pre-S1 residues 9-19. More F genotypes strains than expected were detected in this study, supporting the hypothesis that there are more people of indigenous origin than declared in our population. Also, one third of the samples analyzed were recombinants. This cannot be explained by the low HBV prevalence in Uruguay, but a high HBV infection rate in drug addicts and dialysis patients could act in favor of multiple-genotype HBV infections that could lead to recombination. "
1208,0.015,3.0000,"The high levels of genetic diversity shown by hepatitis B virus (HBV) are commonly attributed to the low fidelity of its polymerase. However, the rate of spontaneous mutation of human HBV in vivo is currently unknown. Here, based on the evolutionary principle that the population frequency of lethal mutations equals the rate at which they are produced, we have estimated the mutation rate of HBV in vivo by scoring premature stop codons in 621 publicly available, full-length, molecular clone sequences derived from patients. This yielded an estimate of 8.7 × 10-5 spontaneous mutations per nucleotide per cell infection in untreated patients, which should be taken as an upper limit estimate because PCR errors and/or lack of effective lethality may inflate observed mutation frequencies. We found that, in patients undergoing lamivudine/adefovir treatment, the HBV mutation rate was elevated by more than sixfold, revealing a mutagenic effect of this treatment. Genome-wide analysis of single-nucleotide polymorphisms indicated that lamivudine/adefovir treatment increases the fraction of A/T-to-G/C base substitutions, consistent with recent work showing similar effects of lamivudine in cellular DNA. Based on these data, the rate at which HBV produces new genetic variants in treated patients is similar to or even higher than in RNA viruses. "
345,0.015,3.0000,"Adherence to combination antiretroviral therapy (cART) is generally high in most resource-limited settings. However, sub-optimal adherence occurs in a sizable proportion of patients, and is independently predictive of detectable viremia. We investigated sub-optimal adherence according to self-report, clinician-recorded, and pharmacy-refill assessment methods, and their associated factors among HIV-infected adults receiving cART in Addis Ababa, Ethiopia. Eight-hundred seventy patients who initiated cART between May 2009 and April 2012 were randomly selected, and 664 patients who were alive, had remained in clinical care and were receiving cART for at least six-months were included. Sub-optimal adherence was defined as patients' response of less than ""all-of the time"" to the self-report adherence question, or any clinician-recorded poor adherence during the six most recent clinic visits, or a pharmacy-refill of <95% medication possession ratio (MPR). Logistic regression models were fitted to identify factors associated with sub-optimal adherence. The average adherence level to cART, expressed as MPR, was nearly 97%. However, sub-optimal adherence occurred in 12%, 4%, and 27% of patients according to self-report, clinician-recorded, and pharmacy-refill measures, respectively. More satisfaction with social support was significantly associated with less sub-optimal adherence according to self-report and clinician-record. Younger age, lower educational level, and lower CD4 cell count at cART initiation were significantly associated with sub-optimal refill-based adherence. Findings from our large multi-center study suggest that sub-optimal adherence was present in up to a quarter of the patients, despite a high degree of average adherence to cART. Interventions aimed at preventing sub-optimal adherence should focus on improving social support, on younger patients, on patients with lower educational level, and on those who started cART at a lower CD4 cell count."
2483,0.015,3.0000,"Thalassemia is a congenital hemolytic disease caused by defective globin synthesis treated by blood transfusion. Transfusion-transmitted infections still make a great challenge in the management of patients with thalassemia major. The most important worldwide transfusion-transmitted infections are hepatitis B virus (HBV), hepatitis C virus (HCV) and HIV. The objective of this study is to update the prevalence of the three major transfusion-transmitted infections HCV, HBV and HIV among thalassemic patients followed up in the Hematology Department, Children Hospital, Cairo University. The study included 174 multitransfused thalassemic patients (162 major and 12 intermedia), registered at the Pediatric Hematology Clinic, Cairo University. Their age ranged from 2 to 27 years with a mean of 11.26 ± 5.4 years. Patients were subjected to full history taking, stressing on history of blood transfusions (onset, frequency and duration) at a single or multiple centers and abdominal examination. Laboratory investigations including complete blood count, aminotransferases (aspartate aminotransferase and alanine aminotransferase), ferritin and viral markers of HBV surface antigen (HBsAg), HCV antibodies (anti-HCV) and anti-HIV were assayed for all cases by a third-generation ELISA method. HCV PCR was performed for 75 cases. Of the 174 patients, none of them were HBsAg and anti-HIV positive. However, 90 patients were anti-HCV positive (51.7%). HCV PCR was positive in 56 patients (74.3%) of the 75 with positive antibody tested. HCV antibody positivity is statistically significant with age of the patient, serum ferritin and liver transaminases (P < 0.01). HCV-RNA by PCR positivity was significantly related to patients' age and serum ferritin (P < 0.05). Serum ferritin showed statistically significant positive correlation with liver transaminases. Despite the decrease in prevalence of HCV antibody in our patients from 71% in 1995 to 51.7% in our study, yet HCV infection still represents a major health problem for our thalassemic patients, which requires more attention and efforts to challenge. There is a dramatic decrease in the prevalence of HBV infection over the last decade, thanks to mass compulsory vaccination and blood screening. HIV infection does not represent a problem owing to very low population prevalence."
8860,0.015,3.0000,"Increased access to highly active antiretroviral therapy (HAART) by human immunodeficiency virus postive (HIV⁺) individuals has become a reality worldwide. In Brazil, HAART currently reaches over half of HIV-infected subjects. In the context of a remarkable HIV-1 genetic variability, highly related variants, called quasispecies, are generated. HIV quasispecies generated during infection can influence virus persistence and pathogenicity, representing a challenge to treatment. However, the clinical relevance of minority quasispecies is still uncertain. In this study, we have determined the archived proviral sequences, viral subtype and drug resistance mutations from a cohort of HIV⁺ patients with undetectable viral load undergoing HAART as first-line therapy using next-generation sequencing for near full-length virus genome (NFLG) assembly. HIV-1 consensus sequences representing NFLG were obtained for eleven patients, while for another twelve varying genome coverage rates were obtained. Phylogenetic analysis showed the predominance of subtype B (83%; 19/23). Considering the minority variants, 18 patients carried archived virus harboring at least one mutation conferring antiretroviral resistance; for six patients, the mutations correlated with the current ARVs used. These data highlight the importance of monitoring HIV minority drug resistant variants and their clinical impact, to guide future regimen switches and improve HIV treatment success."
6474,0.015,3.0000,"Data for this study were obtained from 2375 tuberculosis (TB) patients registered during 2007-2009 and 43 health providers to examine the trend of TB patient referral for HIV (human immunodeficiency virus) testing and to investigate provider-associated barriers to the referral in Prey Kabas operational district, Takeo province, Cambodia. Referral rate for HIV testing was 4.4% (30/684) in 2007, 15.4% (116/751) in 2008, and 30.1% (283/940) in 2009, with a significant upward trend over the period of time (P = .009). The main barriers perceived by health providers were poor knowledge about TB/HIV, lack of communication skills, absence of any target plan for TB patient referral for HIV testing, and fear associated with informing positive test results to the TB patients and the associated stigma. Strategies to raise awareness about HIV/AIDS/TB among TB patients and their providers may improve the current state of low referral and its barriers in Cambodia. "
5443,0.015,3.0000,"In patients with non-Hodgkin's lymphoma (NHL), there are some well-known tumor-related adverse prognostic factors that may increase the mortality rate. However, secondary factors such as viral hepatitis carriers that may decrease the cure rates are usually ignored. Reactivation of hepatitis B virus (HBV) infection in patients undergoing cytotoxic treatment for NHL is a well-known complication. Charts of 112 patients with NHL were retrospectively analyzed regarding their hepatitis serology, the indirect effects of seropositivity on disease outcome, and the precautions undertaken in these seropositive patients with NHL. Twelve patients (11%) with HBsAg positivity and two patients (1.7%) with antibody to hepatitis C virus positivity were detected. Eight out of 12 patients (67%) with HBsAg positivity and two patients (50%) with anti-HCV positivity showed reactivation of hepatitis during treatment of NHL. No reactivation was detected in four patients seropositive for HBV, who were given lamivudine prophylaxis before the initiation of chemotherapy schedules. Among patients with hepatitis reactivation, two were treated with lamivudine resulting in dramatic improvement and clinical remission of the disease. The remaining six patients with reactivation were left untreated, resulting in four deaths (67%) due to liver failure secondary to HBV and two deaths secondary to delayed treatment of NHL. One patient seropositive for anti-HCV also developed chronic hepatitis C. Determination of hepatitis serology in all patients with NHL before any chemotherapy administration is crucial, but insufficient, if not taken into consideration. In seropositive patients, HBV DNA should be determined and antiviral prophylaxis with lamivudine should be initiated before any treatment."
5442,0.015,3.0000,"To determine the effect of active tuberculosis on survival and the incidence of opportunistic infections in HIV-infected patients, we performed a retrospective cohort study at four U.S. medical centers to compare the survival and incidence rate of opportunistic infections in 106 HIV-infected patients with active tuberculosis (cases) with that of 106 HIV-infected patients without tuberculosis (control subjects) but with a similar level of immunosuppression (measured by the absolute CD4+ lymphocyte count) as the cases. Cases and control subjects were similar with regard to age, sex, race, previous opportunistic infection, and use of antiretroviral therapy, but they were more likely than control subjects to have a history of intravenous drug use (49 versus 19%). The mean CD4+ counts were similar for cases and control subjects (154 versus 153 cells/microliters, respectively). The incidence rate of new AIDS-defining opportunistic infections in cases was 4.0 infections per 100 person-months compared with 2.8 infections per 100 person-months in control subjects for an incidence rate ratio (RR) of 1.42 (95% confidence interval: 0.94-2.11). Cases also had a shorter overall survival than did controls subjects (p = 0.001). Active tuberculosis was associated with an increased risk for death (odds ratio = 2.17), even when controlling for age, intravenous drug use, previous opportunistic infection, baseline CD4+ count, and antiretroviral therapy. Although active tuberculosis may be an independent marker of advanced immunosuppression in HIV-infected patients, it may also act as a cofactor to accelerate the clinical course of HIV infection."
