Identifier,N_kw = 5
1.0,#N/A
4.0,#N/A
10.0,#N/A
11.0,4059
26.0,3658
31.0,1583
41.0,#N/A
47.0,#N/A
50.0,4733
60.0,#N/A
76.0,1976
81.0,#N/A
84.0,3555
85.0,1861
86.0,928
87.0,2969
88.0,1678
90.0,4331
100.0,#N/A
107.0,#N/A
111.0,#N/A
114.0,#N/A
115.0,#N/A
123.0,#N/A
124.0,#N/A
130.0,2997
140.0,#N/A
142.0,#N/A
169.0,3772
177.0,1639
180.0,#N/A
183.0,#N/A
185.0,#N/A
187.0,682
193.0,1084
197.0,2090
201.0,2977
204.0,348
212.0,3036
217.0,#N/A
240.0,2177
245.0,#N/A
252.0,#N/A
253.0,1218
263.0,2084
270.0,#N/A
278.0,3770
285.0,714
286.0,658
288.0,1744
294.0,#N/A
297.0,4731
300.0,#N/A
301.0,4478
302.0,4579
303.0,650
309.0,4599
313.0,3391
315.0,#N/A
325.0,1773
328.0,1715
333.0,3561
342.0,2472
343.0,3542
345.0,236
350.0,#N/A
351.0,1596
352.0,3155
356.0,3868
358.0,#N/A
368.0,#N/A
371.0,#N/A
373.0,#N/A
376.0,4798
380.0,759
382.0,#N/A
391.0,698
403.0,#N/A
406.0,1102
416.0,1368
417.0,#N/A
419.0,#N/A
426.0,2182
430.0,675
433.0,3687
440.0,3902
441.0,#N/A
468.0,#N/A
471.0,1033
483.0,2383
485.0,1913
487.0,830
493.0,#N/A
494.0,#N/A
501.0,#N/A
508.0,#N/A
513.0,#N/A
521.0,#N/A
547.0,#N/A
569.0,#N/A
579.0,#N/A
585.0,2811
593.0,1557
596.0,109
601.0,#N/A
604.0,#N/A
606.0,#N/A
615.0,242
627.0,4485
635.0,814
643.0,#N/A
652.0,#N/A
655.0,3321
656.0,#N/A
661.0,4423
662.0,#N/A
665.0,#N/A
666.0,3388
668.0,#N/A
674.0,2867
686.0,#N/A
694.0,315
700.0,3504
701.0,103
705.0,3646
708.0,#N/A
711.0,#N/A
714.0,1398
715.0,#N/A
730.0,1905
733.0,1515
739.0,#N/A
743.0,#N/A
746.0,2365
750.0,1157
755.0,#N/A
762.0,#N/A
763.0,3174
769.0,#N/A
776.0,1824
778.0,1692
779.0,#N/A
782.0,816
787.0,570
790.0,3480
796.0,#N/A
797.0,#N/A
798.0,#N/A
799.0,4675
800.0,1250
807.0,#N/A
817.0,#N/A
834.0,#N/A
835.0,1697
838.0,#N/A
839.0,#N/A
845.0,2267
848.0,#N/A
851.0,#N/A
861.0,#N/A
874.0,#N/A
876.0,2992
879.0,205
891.0,4750
903.0,#N/A
914.0,4676
919.0,3550
921.0,128
925.0,1202
931.0,#N/A
940.0,#N/A
950.0,#N/A
952.0,57
964.0,336
968.0,#N/A
972.0,3912
973.0,#N/A
974.0,2235
981.0,#N/A
997.0,#N/A
1012.0,1502
1018.0,#N/A
1024.0,#N/A
1027.0,#N/A
1029.0,3524
1030.0,2810
1039.0,#N/A
1041.0,#N/A
1043.0,981
1045.0,#N/A
1048.0,1424
1054.0,#N/A
1063.0,#N/A
1076.0,#N/A
1082.0,164
1088.0,3061
1103.0,3153
1105.0,3430
1106.0,#N/A
1108.0,#N/A
1111.0,1927
1112.0,4109
1117.0,#N/A
1120.0,#N/A
1121.0,#N/A
1127.0,863
1131.0,#N/A
1137.0,2890
1139.0,#N/A
1140.0,622
1149.0,#N/A
1151.0,3634
1159.0,1327
1160.0,1276
1165.0,131
1167.0,736
1168.0,#N/A
1179.0,2338
1184.0,1914
1185.0,463
1186.0,#N/A
1190.0,2451
1194.0,1833
1195.0,#N/A
1198.0,#N/A
1203.0,#N/A
1210.0,#N/A
1219.0,957
1231.0,2537
1233.0,#N/A
1241.0,#N/A
1242.0,#N/A
1245.0,2813
1246.0,1216
1248.0,3453
1254.0,#N/A
1256.0,#N/A
1261.0,2392
1270.0,2411
1273.0,#N/A
1276.0,1761
1280.0,#N/A
1287.0,2590
1288.0,2223
1290.0,4306
1295.0,#N/A
1298.0,#N/A
1312.0,471
1314.0,4623
1320.0,#N/A
1327.0,#N/A
1331.0,#N/A
1333.0,#N/A
1337.0,3242
1343.0,#N/A
1351.0,#N/A
1358.0,#N/A
1362.0,4535
1368.0,4256
1382.0,4053
1389.0,#N/A
1393.0,#N/A
1397.0,#N/A
1416.0,#N/A
1435.0,#N/A
1442.0,#N/A
1457.0,351
1462.0,3250
1464.0,#N/A
1466.0,3249
1477.0,2071
1481.0,#N/A
1488.0,#N/A
1492.0,3921
1494.0,#N/A
1495.0,80
1500.0,1737
1502.0,707
1504.0,#N/A
1506.0,#N/A
1509.0,1034
1510.0,1855
1512.0,#N/A
1513.0,#N/A
1526.0,3881
1534.0,1345
1537.0,#N/A
1548.0,4540
1553.0,418
1555.0,4719
1565.0,#N/A
1572.0,#N/A
1577.0,1110
1595.0,3982
1613.0,2710
1614.0,#N/A
1618.0,880
1621.0,#N/A
1623.0,#N/A
1624.0,#N/A
1627.0,#N/A
1631.0,1136
1634.0,2790
1636.0,#N/A
1638.0,669
1645.0,908
1662.0,#N/A
1665.0,352
1681.0,#N/A
1683.0,#N/A
1688.0,1918
1695.0,797
1698.0,#N/A
1705.0,#N/A
1709.0,#N/A
1718.0,46
1724.0,2603
1727.0,#N/A
1728.0,#N/A
1738.0,#N/A
1752.0,2671
1758.0,4538
1764.0,#N/A
1783.0,#N/A
1785.0,#N/A
